two_methods_bus_other_f, two_methods_bus_other_m, two_methods_trn_car_as_drvr_m, two_methods_train_other_p, two_methods_trn_car_as_drvr_p, gcc_name16, two_methods_train_other_m, two_methods_train_other_f, two_methods_trn_car_as_drvr_f, one_method_tot_one_method_f, one_method_car_as_passenger_p, one_method_tot_one_method_m, one_method_car_as_passenger_m, three_meth_othr_three_meth_f, one_method_tot_one_method_p, three_meth_othr_three_meth_p, one_method_car_as_passenger_f, three_meth_othr_three_meth_m, tot_f, one_method_ferry_f, one_met_tram_incl_lt_rail_p, three_meth_trn_two_othr_met_f, tot_m, tot_p, three_meth_trn_two_othr_met_m, one_method_walked_only_m, two_methods_train_bus_m, one_method_walked_only_p, two_methods_bus_car_as_drvr_m, three_meth_trn_two_othr_met_p, two_methods_train_bus_f, two_methods_bus_car_as_drvr_p, one_method_walked_only_f, two_methods_train_bus_p, two_methods_bus_car_as_drvr_f, two_mt_trn_trm_incl_lt_rl_m, two_mt_trn_trm_incl_lt_rl_p, two_methods_bus_other_p, two_mt_trn_trm_incl_lt_rl_f, one_method_ferry_p, one_met_tram_incl_lt_rail_f, one_met_tram_incl_lt_rail_m, one_method_ferry_m, worked_home_p, worked_home_m, worked_home_f, did_not_go_to_work_f, two_methods_bus_car_as_pass_f, one_method_truck_m, one_method_bicycle_p, one_method_truck_p, one_method_bicycle_m, gcc_code16, one_method_truck_f, did_not_go_to_work_m, did_not_go_to_work_p, one_method_bicycle_f, method_travel_to_work_ns_f, two_methods_tot_two_methods_f, one_method_other_f, two_methods_tot_two_methods_m, two_methods_trn_car_as_pass_f, one_method_car_as_driver_m, two_methods_tot_two_methods_p, one_method_other_p, one_method_car_as_driver_p, one_method_other_m, one_method_car_as_driver_f, two_methods_trn_car_as_pass_p, two_methods_trn_car_as_pass_m, two_methods_bus_ferry_f, two_methds_othr_two_methds_f, two_methds_othr_two_methds_m, two_methods_train_tot_p, one_method_train_p, two_methods_train_tot_m, two_methods_bus_ferry_p, two_methds_othr_two_methds_p, two_methods_bus_ferry_m, one_method_train_m, one_method_motorbike_scootr_m, two_methods_train_tot_f, one_method_train_f, one_method_motorbike_scootr_p, one_method_motorbike_scootr_f, two_mth_bu_trm_inc_lt_rl_m, three_meth_tot_three_meth_f, two_methods_bus_tot_p, two_mth_bu_trm_inc_lt_rl_p, method_travel_to_work_ns_m, method_travel_to_work_ns_p, one_method_bus_f, two_methods_bus_tot_m, one_method_bus_p, three_met_bs_2_ot_met_ex_tr_p, two_methods_bus_car_as_pass_p, two_methods_train_ferry_p, one_method_bus_m, two_methods_train_ferry_m, one_method_taxi_f, three_met_bs_2_ot_met_ex_tr_m, two_methods_bus_car_as_pass_m, two_methods_bus_tot_f, one_method_taxi_p, one_method_taxi_m, three_met_bs_2_ot_met_ex_tr_f, two_methods_train_ferry_f, three_meth_tot_three_meth_m, two_mth_bu_trm_inc_lt_rl_f, three_meth_tot_three_meth_p
87,103,1327,247,2123,"Rest of NSW",196,43,794,415180,55318,482694,26214,94,897875,396,29103,303,532137,94,111,327,572026,1104163,391,20078,433,39029,276,724,366,573,18948,800,299,24,27,190,4,275,59,59,175,64010,29302,34710,71238,386,12895,6824,13328,5245,"1RNSW",432,45043,116274,1574,6118,4384,2214,7352,212,399703,11731,6928,754752,4715,355049,393,180,15,2161,4530,3589,5458,2168,37,6691,23,3170,5588,1426,2293,6251,664,3,509,1450,12,6850,12963,4034,656,8224,188,638,5,4186,3,712,100,244,799,1385,672,87,9,795,8,1306
650,807,18268,3206,32078,"Greater Sydney",2197,1011,13805,819089,89273,1009651,36051,148,1828741,553,53220,402,1067789,3112,2617,6930,1204929,2272718,7469,44379,29027,91577,2703,14393,30238,5340,47194,59264,2638,763,1460,1457,696,7467,1313,1302,4359,98906,40909,57994,110414,2203,19227,16471,19540,12856,"1GSYD",314,66059,176467,3613,9319,63413,4090,68249,6175,680851,131666,11778,1197269,7685,516418,9500,3327,605,4406,8289,107128,247051,54461,1383,12700,775,128732,13179,52666,118320,14890,1714,206,7554,11842,450,11673,20986,67791,5495,125503,998,3208,1619,57711,883,1989,524,1004,6348,5301,3315,475,736,8393,242,15943
32,70,1106,202,1789,"Rest of Vic.",167,35,684,226076,28609,268174,13460,32,494252,185,15153,152,296681,50,198,540,321909,618583,637,13028,164,24354,122,1177,146,243,11329,317,126,157,302,97,144,170,100,96,117,38164,18750,19409,44366,196,4666,4230,4812,3238,"2RVIC",148,25878,70247,988,3666,2563,1064,4166,127,223511,6722,3797,416367,2738,192856,240,117,0,1071,2152,2853,4907,1710,6,3223,6,2967,1942,1143,1938,2259,311,8,606,653,7,4092,7753,1758,304,3704,84,298,0,1944,0,372,46,109,346,842,470,31,0,844,0,1448
190,210,15196,3076,26525,"Greater Melbourne",2148,927,11330,768143,81763,943841,33752,297,1711982,797,48012,498,998542,117,50856,9196,1116953,2115493,8938,30867,11088,63214,722,18137,9583,1417,32349,20671,693,7895,16010,401,8120,430,27971,22883,311,88695,37056,51638,117387,1082,11660,29712,11892,20938,"2GMEL",236,66345,183729,8770,8445,43094,3603,49661,3716,715011,92754,10456,1274268,6853,559254,5787,2078,4,5818,8566,72094,152741,38409,14,14391,11,80490,6851,33685,72252,7608,760,1150,9842,6268,2764,10311,18750,13472,2685,25018,649,1679,21,11543,12,1345,306,592,3584,4035,2683,349,13,9744,1614,19583
319,415,4968,882,10291,"Greater Brisbane",686,191,5324,400901,53563,473039,22315,128,873942,436,31239,304,515756,1203,137,1574,558022,1073778,1507,15667,3209,30962,1666,3079,3296,3974,15294,6506,2312,3,7,732,7,2356,50,85,1156,49157,20214,28942,62831,1519,9180,11918,9392,9348,"3GBRI",210,40289,103120,2573,3625,17371,1971,17895,1277,359341,35263,6224,657654,4249,298314,2139,863,303,2787,5082,19886,39105,9761,587,7870,286,18579,9761,10128,20520,10776,1015,3,2089,7505,15,4378,8001,27721,3044,49938,787,2200,65,22213,27,772,394,672,4464,1914,1141,386,39,2207,9,4299
114,209,926,128,1537,"Rest of Qld",103,23,607,403326,58611,463650,27263,145,866980,512,31345,364,509346,155,1708,291,550177,1059525,408,20123,292,39095,608,694,327,845,18975,620,241,16,37,319,23,577,961,745,421,63168,27227,35941,59534,473,10184,9720,10515,7090,"3RQLD",334,43695,103233,2626,5001,4796,2756,8079,108,371948,12881,9366,710039,6614,338087,217,111,42,2503,5140,2536,3165,1450,206,7648,169,1765,7867,1086,1404,8834,960,220,743,2689,564,5896,10891,4903,1485,13715,1163,754,3,8815,0,816,861,289,1203,1632,813,302,3,1628,342,2374
13,18,58,3,140,"Rest of SA",0,3,79,56211,7318,68921,3525,15,125137,74,3791,65,73903,12,15,19,84403,158308,10,4231,9,7710,125,31,6,196,3480,11,66,0,4,28,0,39,12,8,32,11583,5965,5618,10693,15,1314,766,1353,613,"4RSAU",43,7432,18128,156,936,411,347,911,0,56496,1316,1534,104463,1183,47965,13,8,0,224,670,165,77,78,0,896,0,45,587,88,32,662,75,0,40,255,0,1085,2019,192,162,976,20,33,0,783,0,98,20,24,92,214,111,9,0,88,0,131
150,194,780,189,1760,"Greater Adelaide",144,43,982,223552,26600,261276,10279,73,484831,222,16328,148,284414,27,2743,457,302646,587060,339,6621,820,12930,1079,793,712,2826,6309,1531,1752,88,197,343,109,106,1567,1174,81,21075,9079,11998,39043,848,3065,6677,3150,5038,"4GADE",80,22793,61839,1639,2185,6869,894,6419,169,212368,13283,3611,387534,2714,175168,283,105,0,1937,2705,3960,8965,1942,3,4638,4,4212,2490,2012,4755,2771,286,140,758,4684,315,2413,4601,16104,1771,28580,409,1198,3,12474,3,412,179,350,2915,1159,750,231,0,661,177,1422
165,414,4576,767,9466,"Greater Perth",576,192,4886,335676,42208,408640,18835,64,744313,244,23372,180,432800,62,142,2516,487403,920196,2131,9622,7341,18947,714,4651,6837,1532,9324,14172,816,9,13,577,7,210,54,87,146,35527,13812,21723,52487,815,6030,9405,6208,7311,"5GPER",176,38707,91191,2094,3753,16449,2281,18572,1002,320619,35022,11269,590114,8986,269492,1617,623,14,1703,3840,26047,25725,13124,41,5546,25,12401,3916,12927,13320,4344,431,9,2717,3430,9,5098,8846,14526,1610,34063,404,1271,11,19538,7,538,269,454,1821,1679,1139,137,5,2578,4,5298
23,123,59,14,126,"Rest of WA",16,0,67,81790,13823,108199,7419,24,189991,108,6404,84,104674,11,14,6,130758,235431,10,6509,10,12660,225,22,18,288,6158,33,65,0,3,139,3,54,7,7,43,13770,6285,7484,13185,50,2174,2301,2262,1534,"5RWAU",89,12096,25277,773,1494,656,897,1503,12,76779,2165,4231,142307,3328,65526,14,4,0,420,1007,193,116,89,7,1427,7,70,1083,99,51,1396,313,0,59,540,0,2483,3978,1393,408,10467,125,110,0,9077,0,176,95,57,134,362,189,30,0,187,0,248
38,26,12,3,20,"Greater Hobart",4,0,6,38674,6373,42420,2369,14,81100,36,4007,26,49382,8,16,0,49501,98883,7,2680,3,5475,98,8,3,342,2791,4,250,0,4,68,0,16,14,10,10,3934,1779,2154,7314,176,608,1134,617,868,"6GHOB",13,4095,11412,266,417,769,174,649,0,32887,1423,534,61660,366,28779,0,0,0,295,426,29,35,22,3,721,0,23,596,13,15,668,77,0,52,668,0,486,900,2423,208,4258,74,255,0,1838,0,117,33,81,464,302,182,37,0,70,0,123
18,10,14,4,21,"Rest of Tas.",4,0,6,43979,6138,51066,2760,17,95052,45,3386,31,56603,4,20,3,60798,117405,0,2585,4,4944,45,9,4,99,2362,6,52,0,0,30,0,22,12,10,15,6203,2991,3208,8386,51,1045,523,1077,401,"6RTAS",30,5413,13797,116,628,367,217,564,4,42434,931,854,79604,635,37169,5,4,0,233,458,33,19,19,0,695,0,17,532,10,7,621,85,0,27,207,0,719,1352,448,84,954,17,79,0,504,0,141,11,28,120,270,129,13,0,37,0,69
3,11,0,0,3,"Rest of NT",0,0,0,12712,2529,13859,1163,18,26572,39,1362,18,14868,5,3,0,15882,30752,3,2646,3,5705,24,3,0,30,3056,4,7,0,0,19,0,22,3,0,15,886,417,476,1165,10,157,1036,171,601,"7RNTE",11,1004,2167,438,315,175,139,239,0,8223,417,435,15546,295,7322,0,0,4,146,191,5,9,4,8,335,3,4,250,4,4,335,83,0,26,69,0,331,650,234,47,689,16,15,0,449,0,50,8,5,27,97,48,13,0,29,0,64
24,125,7,0,18,"Greater Darwin",0,0,6,27563,4374,33845,1838,16,61403,35,2538,23,32474,3,12,3,38883,71357,4,1487,4,2831,790,7,0,929,1348,4,136,0,0,150,0,16,6,7,13,1742,638,1105,2937,107,368,1503,375,929,"7GDAR",9,2499,5439,571,351,480,175,1364,0,24842,1843,701,46207,528,21360,0,0,0,203,362,24,38,13,0,560,0,16,865,8,16,1043,177,0,44,1260,0,471,824,1265,995,4126,65,183,0,2857,0,86,43,76,271,183,92,27,0,63,0,109
130,159,47,9,72,"Australian Capital Territory",11,0,26,82452,12306,91935,4114,25,174389,83,8191,61,100807,12,50,19,104617,205419,24,4985,17,9288,406,44,9,865,4297,23,457,3,4,290,0,41,24,25,23,6309,2730,3577,12376,422,954,5358,976,3726,"8ACTE",20,7293,19668,1632,568,1715,324,1841,3,69387,3555,1057,130677,736,61288,8,0,3,654,941,119,147,78,3,1599,0,97,1767,43,51,1971,207,3,125,1839,4,638,1201,6279,826,12208,173,683,0,5930,0,126,91,254,1018,315,192,80,0,173,0,300
0,0,0,0,0,"Other Territories",0,0,0,803,117,1012,53,0,1815,5,63,5,970,13,0,0,1175,2151,0,88,0,159,0,0,0,0,69,0,0,0,0,0,0,37,0,0,28,81,33,43,90,0,62,16,71,13,"9OTER",8,63,150,5,11,25,7,28,0,675,53,30,1270,20,593,0,0,15,8,19,0,4,0,21,30,7,4,41,0,0,52,13,0,3,21,0,26,37,21,11,51,4,0,0,28,0,0,6,0,16,3,0,3,0,7,0,15
