r_75_99_lt_ste_terr_hsg_auth, r_450_549_lt_other_lld_type, r_275_349_lt_psn_not_sme_hhd, r_75_99_tot, r_550_649_lt_real_este_agent, r_150_199_lt_psn_not_sme_hhd, r_0_74_lt_ste_terr_hsg_auth, r_275_349_lt_ste_ter_hsg_aut, r_850_949_tot, r_200_224_lt_lld_type_ns, r_350_449_lt_other_lld_type, tot_lt_lld_type_ns, r_275_349_lt_lld_type_ns, r_100_149_tot, r_750_849_lt_ste_ter_hsg_aut, r_150_199_lt_real_este_agent, r_350_449_lt_ste_ter_hsg_aut, r_950_over_tot, r_750_849_lt_psn_not_sme_hhd, r_275_349_tot, r_550_649_lt_lld_type_ns, r_75_99_lt_lld_type_ns, r_950_over_lt_psn_not_sme_hhd, r_650_749_lt_ste_ter_hsg_aut, r_225_274_tot, r_100_149_lt_lld_type_ns, rent_ns_lt_hs_coop_com_ch_g, r_750_849_lt_real_este_agent, r_0_74_lt_other_lld_type, r_850_949_lt_lld_type_ns, r_150_199_tot, r_450_549_lt_psn_not_sme_hhd, r_950_over_lt_other_lld_type, r_0_74_lt_hs_coop_com_ch_g, r_150_199_lt_ste_ter_hsg_aut, r_450_549_lt_ste_ter_hsg_aut, r_550_649_lt_other_lld_type, r_225_274_lt_lld_type_ns, r_100_149_lt_hs_coop_com_ch_g, r_150_199_lt_other_lld_type, r_350_449_lt_real_este_agent, r_75_99_lt_hs_coop_com_ch_g, r_100_149_lt_psn_not_sme_hhd, r_225_274_lt_psn_not_sme_hhd, tot_tot, r_100_149_lt_st_ter_hsg_aut, r_450_549_lt_hs_coop_com_ch_g, r_0_74_lt_lld_type_ns, r_150_199_lt_lld_type_ns, rent_ns_lt_psn_not_sme_hhd, r_200_224_lt_ste_ter_hsg_aut, rent_ns_lt_ste_ter_hsg_auth, r_750_849_lt_lld_type_ns, r_350_449_tot, tot_lt_real_este_agent, r_75_99_lt_other_lld_type, r_75_99_lt_psn_not_sme_hhd, r_75_99_lt_real_estate_agent, r_0_74_lt_real_estate_agent, r_750_849_tot, r_0_74_tot, r_650_749_lt_lld_type_ns, rent_ns_lt_real_este_agent, r_950_over_lt_ste_ter_hsg_aut, r_850_949_lt_psn_not_sme_hhd, r_750_849_lt_hs_coop_com_ch_g, r_950_ovr_lt_hs_coop_com_ch_g, r_200_224_lt_real_este_agent, tot_lt_psn_not_sme_hhd, r_200_224_lt_hs_coop_com_ch_g, r_275_349_lt_hs_coop_com_ch_g, r_350_449_lt_psn_not_sme_hhd, r_650_749_tot, r_650_749_lt_hs_coop_com_ch_g, r_225_274_lt_ste_ter_hsg_aut, r_200_224_lt_psn_not_sme_hhd, r_450_549_tot, r_850_949_lt_ste_ter_hsg_aut, r_100_149_lt_real_este_agent, r_550_649_lt_psn_not_sme_hhd, r_850_949_lt_hs_coop_com_ch_g, r_950_over_lt_lld_type_ns, r_450_549_lt_lld_type_ns, tot_lt_ste_ter_hsg_auth, tot_lt_other_lld_type, r_275_349_lt_other_lld_type, r_275_349_lt_real_este_agent, r_850_949_lt_real_estat_agent, rent_ns_lt_lld_type_ns, rent_ns_tot, r_650_749_lt_real_este_agent, sa4_name16, r_550_649_lt_ste_ter_hsg_aut, r_100_149_lt_other_lld_type, r_200_224_tot, r_650_749_lt_other_lld_type, r_450_549_lt_real_este_agent, r_650_749_lt_psn_not_sme_hhd, rent_ns_lt_other_lld_type, r_550_649_tot, r_750_849_lt_other_lld_type, r_350_449_lt_hs_coop_com_ch_g, r_225_274_lt_hs_coop_com_ch_g, r_200_224_lt_other_lld_type, sa4_code16, r_0_74_lt_psn_not_sme_hhd, r_950_over_lt_real_este_agent, tot_lt_hs_coop_com_ch_g, r_225_274_lt_real_este_agent, r_550_649_lt_hs_coop_com_ch_g, r_225_274_lt_other_lld_type, r_850_949_lt_other_lld_type, r_150_199_lt_hs_coop_com_ch_g, r_350_449_lt_lld_type_ns
217,38,3734,383,1053,754,239,376,104,27,215,914,106,2504,5,720,146,421,40,24862,8,8,69,7,8378,20,67,178,64,0,2747,520,8,51,871,24,15,41,89,142,13745,30,419,1863,68280,1692,11,507,30,720,426,347,5,15953,47966,23,72,42,161,228,1936,3,976,0,16,3,5,1281,11894,135,93,1748,472,3,389,817,3907,5,204,148,0,3,8,4754,1831,621,19928,74,105,2329,387,"Melbourne - West",9,80,2832,9,3299,64,116,1230,9,36,173,141,"213",911,339,929,5578,3,337,0,227,55
79,12,1318,152,398,391,94,179,44,18,55,494,38,1325,0,338,30,149,10,8609,0,5,21,0,3535,25,40,82,47,0,1256,169,10,21,347,4,3,29,62,93,5016,16,237,779,26298,860,8,321,12,283,130,142,0,5887,17621,16,34,13,38,93,963,0,321,0,3,0,0,541,4939,30,33,755,221,0,151,409,1466,0,75,52,0,0,7,2017,893,124,6928,35,37,869,194,"Mornington Peninsula",0,80,1253,0,1265,21,51,466,0,16,43,124,"214",438,118,336,2266,0,271,0,68,17
186,8,255,444,16,907,155,26,9,16,24,564,9,2222,0,1782,8,28,7,1658,0,5,10,0,2226,32,28,5,268,0,3395,22,3,44,417,3,3,6,112,155,413,35,631,468,14555,694,0,404,40,200,146,125,0,555,6838,50,120,46,26,13,1500,0,120,0,6,0,0,924,3909,20,18,100,22,0,91,567,71,4,530,6,0,0,3,1864,1025,42,1304,0,39,626,8,"North West",0,216,1752,0,42,13,118,26,0,5,9,78,"215",599,12,365,1602,0,55,0,92,3
59,0,348,209,14,633,95,26,5,21,16,404,12,1556,0,991,17,20,5,1967,0,9,13,0,2307,30,15,0,174,0,2245,20,6,17,371,0,0,10,71,128,556,25,358,524,12314,683,3,254,39,140,199,90,0,743,6129,45,52,18,20,7,858,0,108,0,7,0,0,943,3063,27,9,152,14,0,82,498,96,0,273,7,0,0,0,1638,808,56,1513,3,26,471,6,"Shepparton",0,141,1791,3,61,3,84,23,0,4,16,102,"216",302,5,274,1613,0,57,0,76,0
81,3,351,216,13,654,85,22,4,8,15,427,11,1498,0,770,9,30,3,1754,0,3,20,0,2021,20,26,0,290,0,1882,21,4,18,270,0,3,11,68,97,571,16,400,476,11337,635,0,345,14,139,118,79,0,737,5314,17,75,21,13,5,1177,0,92,0,0,0,0,782,3176,11,13,133,4,0,109,464,103,3,270,6,0,0,3,1402,764,33,1330,0,16,453,0,"Warrnambool and South West",0,94,1437,0,79,6,104,19,0,9,22,58,"217",427,9,256,1358,0,46,0,79,0
201,23,685,251,936,204,126,126,72,10,86,286,19,1086,0,90,91,79,27,2119,0,3,15,3,1143,7,27,105,31,0,928,572,7,9,469,7,3,4,40,36,5465,20,97,325,20407,905,15,153,7,151,157,133,0,7240,12745,5,17,8,19,137,562,3,187,3,13,0,0,200,4230,17,49,1533,409,0,174,202,4138,0,21,146,0,0,12,2399,328,29,1213,56,38,566,359,"Brisbane - East",0,26,601,8,3508,34,34,1084,0,38,85,16,"301",220,58,428,514,0,37,0,124,27
259,40,992,302,725,194,165,212,43,10,167,311,18,1359,0,167,111,49,15,4475,3,3,6,5,1631,13,82,85,25,0,1183,408,0,19,594,9,12,14,49,99,8919,22,105,362,26767,1097,4,144,22,154,211,208,0,10994,17292,4,13,3,19,96,578,0,206,0,9,0,0,183,4520,30,77,1676,258,0,206,227,3439,0,58,126,0,0,11,3089,1041,186,2990,36,43,748,211,"Brisbane - North",0,39,744,5,2977,34,52,867,0,74,56,89,"302",207,40,514,666,0,325,0,106,38
370,96,1261,437,1668,408,243,279,125,9,304,472,30,2178,6,240,138,154,74,5178,11,0,39,5,1850,24,57,238,34,0,1662,1173,5,32,707,21,31,8,55,162,11930,22,315,546,40259,1615,32,240,15,345,296,201,0,15261,25589,4,23,13,52,324,1042,3,382,0,30,0,0,247,8209,60,52,2709,761,3,300,322,7073,0,106,355,0,0,16,4205,1180,161,3401,88,47,1109,580,"Brisbane - South",14,62,1029,9,5735,157,70,2079,5,105,61,95,"303",448,111,611,805,7,132,5,129,68
104,38,411,129,1159,145,50,69,156,0,102,196,8,583,3,127,46,224,58,1840,0,0,72,0,799,3,25,282,21,0,576,590,3,16,215,11,21,3,23,27,4546,9,102,205,17276,400,0,133,5,126,91,60,0,5712,11440,3,8,6,13,348,470,4,132,0,26,0,0,87,3433,20,24,990,633,0,105,150,3598,0,37,227,0,0,7,1163,838,242,1081,127,17,396,531,"Brisbane - West",6,16,381,9,2954,87,33,1421,9,10,13,34,"304",231,154,206,198,3,285,0,56,17
272,98,1325,327,4172,441,213,141,609,8,102,430,18,1472,3,434,63,982,232,6405,11,3,224,3,2456,14,45,886,57,0,1660,1648,11,26,523,22,67,7,76,50,10503,18,172,643,48432,1069,41,206,16,285,144,148,8,12774,34555,4,17,11,63,1145,992,6,382,0,122,0,0,386,9287,38,66,2044,2242,8,176,393,10222,3,117,896,4,4,28,2771,718,92,4768,478,59,986,1788,"Brisbane Inner City",7,28,999,24,8389,417,67,5161,15,29,113,33,"305",426,741,670,1433,17,80,4,191,37
258,14,1771,402,319,830,215,182,20,20,115,676,63,1932,0,1129,61,59,5,7360,0,4,19,5,5018,31,32,34,215,0,3304,262,5,16,928,12,7,29,119,205,4778,30,389,1365,31224,1110,0,392,50,249,246,178,0,6162,17463,40,54,17,49,46,1313,0,221,7,6,0,0,1335,7539,71,32,1167,135,0,245,896,1519,0,147,55,0,0,11,3454,1541,263,5050,13,48,837,94,"Cairns",6,131,2722,0,1214,31,101,390,0,18,67,159,"306",427,28,554,3036,0,270,0,160,22
65,3,439,234,16,621,76,9,3,22,18,678,15,1178,0,948,0,30,0,2350,0,4,14,0,2951,11,16,4,690,0,2099,28,3,19,232,3,3,16,64,190,483,7,442,703,13996,274,0,564,25,191,62,39,0,669,6654,93,47,7,23,3,1909,0,98,0,0,0,0,927,3840,37,3,164,10,0,56,648,94,0,190,11,0,0,0,814,1757,60,1819,0,23,632,7,"Darling Downs - Maranoa",0,194,1811,0,59,4,269,23,0,0,16,123,"307",535,6,248,2065,0,104,0,90,5
275,10,1190,620,93,606,280,87,8,25,72,677,27,1947,3,1248,21,28,8,6109,3,12,5,4,4640,13,33,9,1070,0,2746,134,5,50,555,5,7,27,94,184,2551,46,356,1020,26250,891,0,478,30,218,191,134,0,3295,14439,195,48,42,80,27,2461,0,237,0,3,0,0,1508,5486,104,22,621,48,3,197,707,607,0,340,36,0,0,0,2630,2465,120,4661,3,44,936,27,"Central Queensland",0,250,2650,0,455,21,267,139,3,14,64,111,"308",507,12,549,3171,0,167,0,125,13
318,182,2966,402,3647,538,200,311,413,12,613,1010,94,1855,3,307,147,522,152,12488,11,6,112,7,3299,15,53,666,142,0,1930,2120,11,28,725,25,45,34,60,192,21096,20,284,1022,73474,1316,35,513,17,498,253,211,3,27566,50132,11,26,17,98,832,1695,3,696,0,69,0,0,335,15656,33,100,5446,1917,3,278,554,13053,0,112,828,0,3,52,3799,2187,456,8562,335,106,1688,1563,"Gold Coast",5,82,1264,18,10632,326,124,4552,9,128,73,82,"309",711,391,699,1680,9,205,4,162,142
254,43,2090,330,210,404,167,443,16,20,164,536,72,1598,8,283,60,41,5,12999,3,3,6,3,5803,22,41,20,77,0,1841,197,0,14,831,14,10,25,83,186,8808,11,234,1259,38210,1096,6,266,18,221,367,255,0,10288,24497,16,29,15,42,29,963,0,347,0,3,0,0,488,6589,73,96,1170,79,0,607,531,1339,0,81,35,0,0,4,4111,1859,354,9945,9,58,995,62,"Ipswich",5,84,1626,0,1085,19,81,265,0,43,125,149,"310",403,32,616,3090,3,694,0,113,52
340,23,1870,380,377,245,220,307,19,17,169,464,71,1433,4,180,60,38,13,10462,0,0,6,0,3131,7,27,29,88,0,1588,372,3,11,960,10,8,29,27,133,9582,4,145,593,34192,1109,7,201,13,225,319,203,0,11688,22448,5,26,9,61,41,858,0,355,3,0,0,3,286,5943,21,102,1763,137,0,402,290,2010,3,80,80,0,0,10,3946,1050,278,7834,15,51,926,106,"Logan - Beaudesert",0,62,1016,3,1588,24,73,469,0,45,56,79,"311",282,21,349,1932,3,120,0,45,53
144,22,959,470,105,438,150,80,3,15,98,486,25,1291,0,870,12,15,0,4628,0,3,3,0,3173,19,21,16,1675,0,1975,141,3,12,394,0,12,17,59,127,2496,19,242,679,20825,535,3,340,19,181,132,97,0,3330,10956,254,33,15,63,17,2613,0,188,0,0,0,0,953,4289,31,27,673,50,0,140,513,634,0,192,30,0,0,0,1701,3010,135,3403,3,31,735,27,"Mackay - Isaac - Whitsunday",0,237,1752,3,473,19,214,149,0,36,57,106,"312",375,10,384,2156,0,120,0,129,22
247,12,1662,308,315,304,151,232,17,17,60,419,73,1518,3,255,33,41,4,9694,3,6,6,0,3609,15,38,33,57,0,1451,223,7,23,632,8,4,34,63,134,6713,18,186,825,28860,1102,3,200,19,168,241,195,0,7809,19021,9,13,16,33,40,683,0,300,0,3,0,0,382,5043,47,62,954,131,0,276,401,1237,0,96,56,0,0,0,3120,825,173,7502,12,31,777,98,"Moreton Bay - North",0,59,1179,7,987,23,51,378,0,24,51,93,"313",225,28,436,2254,0,168,3,108,25
47,23,802,68,386,110,42,161,16,5,91,185,17,397,0,46,38,19,4,3960,0,0,3,0,1359,3,20,55,19,0,431,213,3,11,194,0,3,3,22,54,7196,9,51,238,18347,266,6,91,5,91,92,67,0,8487,12971,0,12,0,19,61,314,0,146,0,5,0,0,105,2977,9,35,1083,175,0,152,132,1851,0,16,69,0,0,5,1066,959,136,2819,10,23,382,152,"Moreton Bay - South",0,34,368,0,1602,26,33,459,0,51,8,22,"314",136,9,188,407,0,546,0,25,24
506,47,222,730,88,283,757,140,30,4,68,518,4,2249,0,225,49,24,8,855,3,10,11,3,739,14,27,51,1357,0,1716,104,3,173,919,13,40,8,153,167,418,50,231,203,12216,1513,3,438,18,117,132,206,0,752,2219,120,33,10,26,63,2964,0,56,0,3,0,0,219,1880,32,13,191,120,0,125,207,416,0,66,35,0,0,0,4368,2629,82,394,27,14,732,74,"Queensland - Outback",3,267,653,20,250,22,303,174,11,11,36,53,"315",212,3,603,306,0,67,7,102,10
251,55,1875,373,1559,436,120,191,108,13,168,660,39,1432,0,176,77,139,44,7201,3,8,40,0,2307,16,35,191,92,0,1335,978,10,25,475,3,14,26,77,146,9183,43,252,861,37216,961,5,405,17,284,157,152,0,12010,23786,27,41,9,36,233,1120,3,291,0,22,0,0,298,8610,25,39,2503,643,0,192,479,6472,3,58,286,0,0,20,2587,1185,202,4857,85,60,922,543,"Sunshine Coast",4,63,1067,5,5407,91,104,1867,6,26,33,104,"316",437,93,390,1013,0,189,3,82,52
123,12,956,204,70,334,67,61,10,14,31,222,19,857,0,511,8,17,4,5801,0,4,3,4,3262,3,22,4,51,0,1246,73,3,23,262,0,3,13,25,50,2612,25,206,699,17347,477,3,106,21,110,119,95,0,3107,11453,15,26,13,24,13,454,0,138,0,0,0,0,732,3476,19,21,443,37,0,129,411,480,0,113,20,0,0,0,1348,614,160,4577,5,26,421,16,"Toowoomba",3,37,1337,0,394,10,33,92,0,3,21,48,"317",184,13,234,2239,0,170,0,67,11
331,40,1508,451,211,579,239,195,10,24,117,535,23,1794,3,822,34,50,9,8088,0,0,21,3,5519,24,36,15,252,0,2410,190,9,11,735,0,12,30,68,104,4824,21,370,958,29882,1088,0,337,28,192,267,175,0,5899,17503,31,52,15,36,35,1225,0,212,3,8,3,0,1210,5798,44,26,876,73,0,307,584,1011,0,155,63,0,0,3,3391,2245,341,5989,5,48,778,43,"Townsville",6,84,2246,7,775,23,117,285,3,22,40,114,"318",356,23,415,3163,0,1017,0,142,20
320,3,1786,539,46,1123,209,79,3,29,35,839,43,2086,0,1260,18,55,3,8636,0,7,32,0,7467,26,34,9,273,0,3524,69,3,20,655,3,3,66,147,297,2157,45,525,2027,31297,971,0,526,53,322,223,168,0,2679,17057,83,68,16,41,17,1665,0,266,0,3,0,0,1561,8194,58,33,438,32,0,257,1187,289,0,206,17,0,3,4,2903,1726,176,6524,0,58,1003,13,"Wide Bay",0,207,3244,6,207,11,157,65,3,16,81,192,"319",588,15,582,4749,0,285,0,134,12
628,33,2331,849,763,609,246,129,107,6,90,490,33,1885,0,285,50,155,55,7777,0,16,47,7,3745,25,107,157,63,0,1696,707,3,72,416,13,28,17,235,60,5077,145,359,1235,31464,1108,18,301,10,289,135,163,0,7198,16847,14,38,8,52,215,1325,0,194,12,26,0,0,371,9095,93,62,1930,454,0,200,548,2965,4,104,241,0,0,6,3108,752,156,5063,73,46,849,337,"Adelaide - Central and Hills",5,58,1201,6,2188,98,53,1045,3,31,77,47,"401",591,95,1165,2076,4,138,0,319,25
1680,17,3562,1906,85,783,555,545,13,15,128,578,63,3887,6,735,130,49,12,13999,3,23,4,6,8620,38,98,13,49,0,3912,171,4,67,1748,14,6,46,283,106,4145,123,390,2265,45261,2910,3,256,32,368,768,506,0,5705,20895,26,45,17,65,34,1497,0,355,21,3,0,0,1142,10344,237,109,1244,53,0,909,945,711,5,161,37,0,4,5,9814,1937,561,9160,0,72,1501,22,"Adelaide - North",4,107,3227,7,492,11,110,147,6,34,226,128,"402",502,15,1689,4488,3,674,0,516,21
1121,10,3112,1343,315,590,345,280,53,15,105,503,35,2607,4,259,87,79,17,10621,3,15,18,4,4715,25,106,54,31,0,2448,343,6,53,1066,6,10,39,288,82,4990,130,361,1619,34776,1786,12,272,27,278,365,342,0,7034,16806,17,42,14,28,83,1166,3,213,10,16,0,0,357,9441,122,95,1812,177,4,479,646,1410,5,95,111,3,0,3,5919,692,158,6944,26,44,1035,120,"Adelaide - South",8,52,1559,3,1026,45,48,442,3,21,155,49,"403",432,37,1421,2322,0,103,0,420,20
1380,28,2280,1624,280,586,495,524,41,17,119,450,34,2977,8,334,135,46,15,7221,4,23,13,8,4500,26,124,39,34,0,2464,382,0,65,1130,11,13,18,167,75,4080,138,352,1468,30966,2276,3,238,12,235,378,337,0,6036,13012,12,42,15,29,69,1260,0,208,17,11,0,0,522,8224,94,117,1677,144,0,493,637,1443,0,104,102,0,3,6,7199,883,217,4053,24,51,1005,99,"Adelaide - West",4,52,1735,0,1017,33,49,405,3,17,134,82,"404",398,22,1191,2192,3,198,0,323,16
326,0,333,478,6,642,82,21,0,16,6,397,7,1247,0,706,4,19,3,1253,0,10,12,0,1839,13,35,0,172,0,1893,15,3,24,278,3,0,13,91,135,257,39,413,575,9720,452,0,299,25,124,88,85,0,349,3688,29,65,12,12,4,992,0,52,9,0,0,0,472,3215,34,9,82,7,0,45,531,38,0,161,4,0,0,0,1382,685,30,854,0,16,371,0,"Barossa - Yorke - Mid North",0,119,1209,0,21,3,66,9,3,0,19,60,"405",411,3,362,1129,0,60,0,105,3
705,4,266,932,7,497,376,52,8,3,9,365,3,1815,3,753,18,8,0,1186,0,12,0,0,1377,20,34,3,303,0,2338,12,3,83,700,3,4,13,61,298,267,96,306,346,11125,985,0,252,23,101,225,231,0,372,3377,51,52,10,13,4,1303,0,62,3,0,0,0,458,2297,4,17,76,6,0,160,352,53,0,179,9,0,0,0,3448,1264,43,801,0,29,553,0,"South Australia - Outback",0,259,1156,3,34,0,97,16,0,5,9,110,"406",272,0,371,782,0,68,3,60,4
519,4,522,822,15,1196,141,19,3,21,16,671,14,2787,0,1602,7,28,4,2247,0,11,15,0,3682,37,54,0,414,0,3949,20,0,40,672,10,3,24,171,299,354,84,769,846,18875,907,0,478,39,217,198,145,0,495,8217,49,125,41,46,8,1648,0,114,3,0,0,4,1181,5189,42,10,101,15,0,88,835,69,0,602,7,0,0,0,2724,1499,39,1645,0,39,715,9,"South Australia - South East",4,304,2382,3,34,3,151,26,0,3,38,108,"407",530,7,572,2578,0,107,0,137,7
112,19,1358,173,72,376,100,87,10,12,103,473,23,1307,0,241,15,37,0,3889,3,3,19,0,1809,14,18,6,136,0,1414,219,10,17,526,9,6,15,41,107,3089,17,274,692,16616,851,3,346,22,179,180,112,0,4456,7563,8,27,3,23,15,994,0,103,0,3,0,0,241,5222,28,21,1217,29,0,141,417,859,0,63,42,0,0,3,2142,880,130,2264,7,19,510,14,"Bunbury",3,66,976,0,611,12,80,126,3,15,26,103,"501",370,7,331,822,0,116,0,147,17
42,8,755,72,92,168,28,43,4,3,53,161,14,440,0,65,6,26,4,2681,0,3,9,0,1057,11,17,3,20,0,616,134,3,5,261,0,6,11,24,41,2052,11,96,380,9459,280,7,97,3,79,90,39,0,2872,5126,4,6,5,13,6,315,0,50,0,0,0,0,104,2728,29,9,729,41,0,84,180,536,0,17,30,0,0,3,868,345,67,1784,0,12,229,30,"Mandurah",0,20,435,0,382,4,35,126,0,19,25,25,"502",155,16,225,509,0,55,0,81,11
167,59,877,220,1896,202,109,69,441,3,92,316,10,1111,3,115,45,973,181,3310,4,0,230,3,1588,7,38,631,36,3,764,1024,20,16,268,17,40,9,55,30,3690,25,134,405,24410,865,12,218,8,198,80,69,4,5110,15301,7,18,0,47,837,818,3,188,3,68,0,0,214,5993,19,34,1242,1251,4,72,192,4392,0,30,550,0,0,17,1779,604,116,2207,364,17,559,932,"Perth - Inner",0,17,532,16,3272,286,50,2494,17,29,37,15,"503",379,728,416,980,10,88,6,142,13
181,72,1238,257,434,292,131,194,33,7,212,351,19,1309,3,67,79,52,16,3831,0,5,20,0,1259,11,29,33,30,0,996,764,3,25,527,4,7,11,41,33,4762,42,173,474,20936,1024,3,222,14,196,215,137,0,7398,10473,7,21,4,26,55,844,3,171,3,9,0,0,156,6382,31,44,2282,148,0,203,305,2796,0,27,155,0,4,4,2719,668,125,2215,21,28,622,110,"Perth - North East",5,33,729,5,1943,30,54,608,0,39,18,21,"504",414,27,342,479,3,79,0,68,30
301,139,2378,379,1784,503,261,291,236,10,505,676,36,2399,0,148,132,279,110,7510,3,4,78,5,1889,12,61,367,66,0,1832,2099,5,39,902,19,26,7,117,56,11175,28,285,722,46723,1870,10,414,17,426,368,280,4,17080,25482,5,35,3,54,484,1554,3,307,3,63,3,0,169,13864,53,45,5165,1092,0,309,424,7286,5,68,594,0,0,26,4750,1342,238,4524,167,58,1209,821,"Perth - North West",10,52,1066,12,4993,251,81,2421,7,28,27,39,"505",726,194,613,715,0,106,0,202,78
362,157,2899,512,1169,603,325,274,142,7,460,738,40,2879,4,204,132,226,67,8743,6,9,81,4,2612,40,64,188,81,0,2260,1728,8,49,1010,26,20,16,183,126,10667,50,446,930,46911,2024,12,429,31,524,399,289,3,15866,24697,15,62,12,67,271,1786,4,344,3,25,0,0,240,13857,59,39,4513,556,0,402,563,6692,4,116,422,0,0,12,5266,1520,277,5220,99,77,1402,381,"Perth - South East",4,80,1328,6,4758,157,109,1631,8,35,49,58,"506",828,125,833,1102,5,108,7,285,57
282,84,1880,376,1182,363,250,223,166,6,205,531,24,2194,3,117,87,298,73,5938,3,8,61,3,2258,17,38,245,54,0,1606,1329,12,31,878,13,20,16,79,85,8634,33,253,767,35994,1757,5,327,15,315,308,259,0,12159,19561,10,37,12,27,322,1286,3,238,0,37,0,0,201,9864,36,21,3188,635,0,264,409,5105,0,40,419,0,3,17,4334,1277,234,3552,124,53,981,482,"Perth - South West",8,46,1031,4,3659,142,80,1637,3,9,28,66,"507",605,218,430,823,0,365,0,140,36
167,7,762,409,20,605,141,107,7,14,69,710,14,1594,0,193,17,33,6,2132,0,11,11,0,1661,13,23,0,647,0,1675,60,3,28,511,8,0,10,157,222,863,58,467,681,12964,658,0,607,15,177,195,126,0,1386,3370,95,74,9,8,10,2061,0,54,0,4,0,0,261,4424,29,21,412,11,0,208,511,213,0,85,13,0,0,0,2148,1828,114,1121,0,11,590,4,"Western Australia - Wheat Belt",0,204,1153,4,140,3,196,36,0,15,39,139,"509",629,17,492,583,0,133,0,118,10
417,111,116,778,434,38,783,263,115,8,175,416,3,2107,6,116,138,240,42,1260,0,6,42,11,1110,12,44,195,3015,0,1386,132,49,224,595,41,41,7,69,573,944,65,29,97,17398,883,8,319,11,90,293,378,3,1449,4234,276,3,13,125,271,4556,0,246,5,26,0,0,88,1079,9,13,172,388,3,368,62,996,0,37,83,0,6,4,4198,6962,286,585,74,20,1377,277,"Western Australia - Outback (North)",15,1080,765,50,701,53,595,579,20,4,17,314,"510",94,143,508,247,0,368,10,48,12
148,27,789,304,109,359,432,175,6,6,50,470,8,1376,0,338,44,32,4,2823,0,5,14,3,1913,12,16,9,576,0,1612,120,4,53,557,4,11,11,71,258,1247,52,233,548,14298,758,3,370,18,127,225,202,0,1869,5139,58,33,13,21,18,1734,0,92,3,0,0,0,379,3464,15,32,516,41,0,267,383,548,0,72,30,0,0,6,2832,2044,199,1621,3,20,667,26,"Western Australia - Outback (South)",9,224,1187,0,384,16,213,158,3,4,25,175,"511",288,14,350,826,0,245,4,78,8
664,14,2128,780,198,722,299,135,13,18,73,418,16,2146,3,700,44,41,6,5948,0,12,16,0,4171,27,44,24,32,0,2765,272,3,26,983,8,4,25,216,88,2280,40,355,1509,24448,1351,10,249,32,174,443,206,0,3528,10570,12,47,9,35,38,969,0,134,6,0,0,0,773,7474,82,51,1099,89,0,321,707,968,0,146,79,0,0,4,4467,720,188,3427,4,33,629,51,"Hobart",4,55,2076,4,664,31,41,292,4,27,57,50,"601",328,14,797,2104,0,153,0,239,6
324,0,823,524,14,816,186,32,4,16,24,404,16,1639,0,1024,9,18,4,2725,0,9,10,0,2959,19,28,0,169,0,2716,42,3,49,529,6,0,12,144,129,588,52,421,929,15227,727,0,274,32,146,251,117,0,828,6588,38,75,21,33,6,1068,0,90,6,0,0,0,943,4552,38,17,193,10,0,113,722,139,0,224,22,0,0,0,2312,801,76,1760,0,18,495,3,"Launceston and North East",3,101,2052,0,94,7,93,33,3,9,20,82,"602",356,7,562,1797,0,85,0,193,3
27,0,158,62,0,229,9,0,3,0,4,172,4,268,0,94,0,3,0,382,0,0,0,0,471,5,0,0,97,0,414,5,0,6,34,0,0,9,13,30,36,3,148,224,2566,48,3,129,8,37,19,4,0,86,705,7,22,4,3,0,411,0,13,0,0,0,0,102,1226,21,0,45,4,0,8,190,15,0,20,0,0,0,0,143,260,17,204,0,15,98,4,"South East",0,34,353,0,6,0,31,3,0,0,4,19,"603",163,0,58,219,0,13,0,15,0
304,0,446,426,0,632,146,26,0,13,7,331,10,1510,0,751,17,15,0,1415,0,4,4,0,2707,29,24,3,206,0,2270,8,0,28,615,5,0,24,120,109,193,43,369,973,11800,672,0,200,28,98,334,135,0,305,4369,16,40,18,23,9,847,0,53,4,0,0,0,666,3574,72,7,78,4,0,94,671,37,0,250,5,0,0,0,2367,712,50,881,0,12,399,3,"West and North West",3,77,1845,0,15,0,73,10,0,3,9,82,"604",248,3,447,1506,0,93,0,135,5
487,128,389,518,1806,82,479,103,238,0,168,286,12,699,0,44,101,294,90,1708,7,6,58,3,1280,8,18,438,223,0,494,1002,28,41,298,92,61,6,44,30,2227,20,70,174,19096,531,3,172,6,142,86,153,3,3486,9785,7,11,0,43,551,1139,5,202,0,51,0,0,75,4122,7,13,951,1261,0,152,135,3766,10,21,537,0,3,13,2518,2181,325,863,181,28,841,978,"Darwin",20,29,389,25,2526,248,296,2421,18,17,9,91,"701",182,203,205,184,0,756,9,35,21
732,47,164,1075,193,76,2335,53,15,0,70,563,7,1206,3,22,61,29,15,639,0,6,7,4,642,6,139,31,1513,0,828,185,17,668,401,25,18,3,113,256,635,78,41,99,13639,750,4,484,7,68,115,658,0,1031,2116,249,8,3,68,54,5149,0,53,0,3,0,0,46,1171,66,7,260,104,0,107,71,728,3,14,62,0,0,4,5257,3370,79,324,8,38,1464,73,"Northern Territory - Outback",9,275,371,5,465,23,511,287,3,6,19,68,"702",90,3,1163,158,0,249,0,58,3
1287,197,1286,1374,2179,335,560,545,227,8,417,471,10,2930,4,146,575,342,119,5920,7,7,95,10,2190,19,48,297,57,0,1923,2182,13,57,1259,142,71,7,91,49,9499,46,157,435,45346,2553,8,295,9,305,524,489,0,13954,23285,12,17,6,44,438,1494,0,301,19,63,0,3,146,10100,42,112,3375,1001,3,604,278,8214,0,54,695,0,0,22,8581,2251,674,3298,151,47,1285,681,"Australian Capital Territory",21,49,1081,30,5664,281,99,2981,11,45,62,80,"801",482,214,653,596,6,481,8,126,41
12,11,12,32,0,32,21,5,0,0,3,38,0,73,0,20,3,4,0,39,0,0,4,0,31,0,9,0,58,0,88,6,0,18,31,0,0,0,0,3,6,0,34,9,552,14,0,34,0,11,20,3,0,23,84,13,8,0,3,0,151,0,3,0,0,0,0,9,164,0,0,16,6,0,0,10,18,0,16,0,0,0,0,116,132,12,5,0,0,50,0,"Other Territories",0,4,41,3,3,0,18,3,0,0,0,0,"901",23,0,26,16,0,4,0,0,0
