19,134,1220,1718,5996,99,7394,56979,22871,41060,11440,91322,236,43170,110,970,4419,70,3170,18756,476,13032,308,17560,3588,1536,674,852,9670,548,26530,29503,14272,24122,61175,2384,2554,3939,2551,1589,2988,14558,8754,15443,2235,28155,2759,2880,3302,36621,16153,834,44953,3116,114410,58,2880,462,71848,65381,71,2411,27286,119,21096,5261,50461,12202,37759,699,2361,1021,2560,1054,1002,"Melbourne - West",34990,21071,28138,619,73,22267,583,405,3860,40722,1700,8,22301,73509,2603,283698,4844,90,10,661,661,94,1870,1673,25064,7488,24960,1402,7,27426,22959,741,126868,884,19,57434,4101,395,468,949,1507,29663,0,823,2382,3389,2461,2163,556,166,3420,11932,0,40987,1731,64252,19066,99070,39,59386,72057,280,32,666,20,756,25018,7777,35875,2462,16286,4740,5563,92,1190,1649,23580,1403,291715,853,9516,4038,189,46366,959,2236,22071,17,33021,26338,1294,352,270,167153,9856,186096,652,524,622,47,4251,304,31334,193,39574,286,1600,17410,56,29,5241,5097,2989,37,1981,31,44295,1540,15394,62617,54708,23369,254,166,"213",4490
14,32,453,678,2364,61,4267,18800,8382,12858,6392,39633,96,16996,32,386,656,41,2974,5866,79,5960,152,6846,1457,117,68,502,7324,512,13365,10120,6743,7756,20837,961,1062,999,2411,679,1526,4436,4759,10854,502,9463,1593,1191,1335,14315,4999,336,18999,1171,36209,38,422,260,28360,22948,30,1180,11034,43,8295,1043,15891,9431,18938,523,851,579,1116,631,191,"Mornington Peninsula",17139,9346,8128,101,47,14193,58,154,1357,9288,497,9,6992,25462,1507,110890,1939,21,3,401,417,32,785,717,12885,2096,11770,595,0,11769,13098,574,32036,396,10,17407,1042,155,270,117,589,14347,0,625,1029,1056,892,1382,137,77,2358,5811,0,11029,700,16621,7473,40064,28,21389,16653,48,15,80,0,49,6833,6348,12826,1127,10623,3890,4698,51,733,998,6190,469,121563,261,2063,2156,148,20632,891,931,8700,12,11374,8139,1037,63,42,71489,7932,73725,329,109,495,20,1018,82,7369,100,11272,126,1454,4835,36,11,2586,4070,2192,10,1160,11,13128,604,7606,15416,22809,16384,56,57,"214",3748
15,13,205,556,1786,55,2101,8234,7283,5725,3023,20043,63,9032,10,229,674,44,1772,2551,231,2428,46,3303,1144,62,41,296,4225,357,8240,4190,2828,3986,8543,401,647,793,1394,417,950,2447,2312,5935,446,3862,953,775,891,7122,2801,196,9940,1008,16287,19,626,132,12852,9462,22,945,6060,35,4334,1000,8194,5449,10390,171,484,292,498,345,443,"North West",10744,6497,4345,360,25,8340,31,118,739,4471,348,3,3182,11371,680,60841,1322,6,3,232,146,19,592,308,7062,1509,4580,345,0,6086,5851,205,16885,191,0,8049,898,80,87,95,319,6019,0,229,782,612,461,995,116,61,815,2153,0,5196,528,8387,3814,17904,9,9543,7626,51,3,34,7,27,3661,3627,5277,1114,6410,1144,3014,35,289,421,2893,281,62072,166,1665,1299,56,10104,606,538,4690,7,4678,4210,790,203,157,37001,4594,40082,254,213,149,3,670,48,3160,66,6106,101,986,2308,26,11,1372,1197,730,17,1086,10,7144,426,3191,8494,12146,8166,69,55,"215",2367
9,16,183,468,1464,31,1776,7478,5607,4973,2526,17288,37,8319,0,237,347,24,1359,2197,61,2150,56,3074,1016,63,38,244,3348,282,6552,3804,2538,3266,7943,361,620,532,1053,375,850,2165,1977,4879,296,3549,748,655,778,6637,2421,204,8493,815,14602,27,221,107,11341,8741,17,701,5120,34,3951,690,6717,4311,8576,152,391,246,459,345,166,"Shepparton",8478,5303,3792,84,18,6820,19,51,574,3734,234,0,2776,10400,549,50890,1125,4,0,180,133,14,546,307,5836,1232,4113,306,0,5198,5078,165,14161,152,0,7123,682,64,85,61,269,5439,0,184,693,547,386,883,48,66,688,1964,0,4589,482,7254,3561,16023,12,8563,6516,22,3,23,5,41,3230,3052,4936,770,5259,995,2186,26,230,331,2610,193,52661,123,1269,1194,50,8793,457,512,4366,0,4394,3446,680,55,32,30988,3893,33723,212,98,137,5,582,23,2778,60,5394,99,779,1973,15,8,1121,1060,620,14,849,7,6211,345,2902,6907,10323,6846,26,19,"216",1700
12,13,189,426,1258,34,1836,6994,4589,4826,2593,17023,46,7570,3,188,552,23,1225,2084,119,2125,51,2846,911,43,86,222,3140,242,6568,3848,2479,3061,7741,414,517,516,960,333,772,1933,2041,4642,286,3595,796,589,658,6047,2199,162,8247,672,13662,19,443,104,11193,8558,18,689,5036,16,3648,444,6477,4102,8752,142,379,235,444,288,255,"Warrnambool and South West",8515,4700,3391,161,19,6588,29,95,576,3408,229,3,2744,9684,578,48091,975,8,0,171,146,6,490,298,5973,912,4127,289,0,5237,5148,202,12557,150,3,6665,484,71,84,152,250,5338,0,222,561,431,356,724,167,35,789,2002,0,4025,375,6380,3198,15411,11,8364,5846,64,0,29,0,34,2855,2647,4710,699,5033,1110,2213,31,268,371,2268,218,50501,129,864,1068,60,8778,457,457,3927,3,4147,3413,541,96,67,29845,3338,31869,185,136,127,4,420,100,2436,52,4788,57,738,1749,18,6,1215,1171,721,8,736,3,5590,317,2862,6175,10280,6573,63,49,"217",1722
0,41,333,351,1250,46,3342,15592,4483,10131,5037,31729,116,14608,48,390,783,31,1716,4675,90,4579,74,5935,717,171,74,418,4681,328,10490,8507,5203,6041,17672,735,1057,528,1371,667,1343,3765,3711,7779,283,7913,1397,642,1052,12649,4265,353,15032,616,29722,13,557,257,23012,19344,17,644,9157,31,7060,540,12336,5820,14561,318,652,525,869,520,205,"Brisbane - East",13374,5037,6660,126,16,10101,93,189,1028,7033,242,3,5455,21108,1152,84957,1550,34,5,304,315,16,366,531,10033,1179,9152,608,3,9863,9633,358,24606,343,6,14129,597,139,211,129,439,11332,0,382,853,584,647,698,118,50,1659,4572,0,9076,586,12686,6718,31892,14,17448,12397,57,6,112,7,98,5710,3986,10842,633,7730,2353,2985,28,544,800,4977,380,92469,221,1091,1860,107,16706,616,961,7549,8,9762,6291,511,68,57,54762,4841,56907,267,107,297,12,554,69,5360,118,9470,76,713,4102,19,12,2155,2433,1511,7,615,11,10922,504,6122,11923,19017,11019,49,69,"301",2336
4,24,275,282,1232,33,2262,15377,4708,11804,3920,26800,127,11523,25,307,1098,28,1787,5745,127,4033,64,4840,595,286,133,290,4731,291,8338,7869,4478,7145,16214,610,761,865,1469,452,902,3581,2562,5989,445,7407,954,619,858,9952,4060,282,12926,611,30005,28,677,173,20285,17650,23,536,7776,25,5698,914,14100,5868,11645,294,626,417,819,331,280,"Brisbane - North",10549,5427,6449,168,19,7586,131,212,1131,10839,417,8,6063,18858,872,80461,1258,17,4,202,278,17,317,533,8264,1346,7750,408,0,8339,7650,368,32658,282,3,14629,708,82,163,196,422,9258,0,393,598,638,735,545,165,41,1269,3719,0,10852,417,16719,5107,27378,19,15948,20079,64,11,151,5,131,5512,3531,9780,500,5677,2000,3491,27,445,616,5986,397,88575,204,1796,1232,109,13873,794,693,5825,6,8800,6951,415,124,48,54677,4262,54790,184,158,277,13,874,90,9241,83,9092,61,714,4867,17,11,1582,2080,1176,5,512,5,10506,402,4787,15941,16116,8767,71,91,"302",2655
8,65,629,527,2099,57,3403,24933,8131,26089,6056,42442,284,21311,89,463,3531,36,2192,12512,501,6619,170,8844,1217,891,487,347,5837,296,12475,12903,7296,15207,26549,1066,1244,1770,1846,786,1256,5712,4095,7919,934,12210,1362,1053,1286,18351,6464,433,20324,1045,49104,33,2425,260,32711,28659,33,847,11716,32,10440,1833,30733,7231,18285,450,1119,554,1222,528,1080,"Brisbane - South",16289,8113,10395,982,40,11055,288,494,1917,21786,837,16,13578,31004,1306,136742,1894,66,3,273,410,36,692,785,12451,2273,12991,718,3,12677,11651,510,61582,429,3,24176,1157,219,271,760,735,15191,0,550,721,1117,1247,812,457,55,2045,6374,0,17713,516,30997,9507,43963,25,26104,40179,275,17,339,10,483,8872,4658,15761,864,7968,2953,4199,50,633,891,9937,668,145623,383,3467,1789,146,22114,530,1153,10870,20,14341,15523,551,568,411,90014,5725,93474,200,577,418,25,1639,282,18393,77,14584,86,760,7775,35,19,2462,3140,1801,11,759,8,16853,603,7897,30582,24392,12213,177,205,"303",3604
3,11,327,268,742,10,1871,12998,2898,14647,3650,23404,238,14387,35,324,1612,7,1195,7075,156,4537,81,6207,586,210,140,196,2929,190,6924,7053,4880,8500,15145,702,820,752,979,493,554,2241,2210,4642,374,6686,711,391,553,12568,2535,313,11028,353,24571,23,1039,167,18399,16373,22,323,5701,9,7211,435,16987,3862,9858,392,595,356,589,216,370,"Brisbane - West",8768,3649,4045,740,27,6804,117,412,729,7740,384,6,7570,16942,865,68945,848,24,0,162,314,20,314,383,7111,789,8998,467,0,6639,6907,428,22002,203,5,11571,398,104,197,244,388,10091,0,453,246,384,470,353,216,19,1463,4461,0,7194,151,11136,6359,24719,16,14393,14162,103,8,144,5,119,3406,2378,9316,295,4944,2316,2347,36,466,632,4020,260,75838,208,903,771,119,12376,641,780,7171,12,8462,8488,265,492,250,45859,3060,46613,86,215,369,12,462,124,6419,32,5649,30,443,3171,31,3,1431,2407,1347,7,273,8,6572,299,5211,10868,12331,7544,98,173,"304",1663
4,16,348,584,3028,19,1795,19452,11218,24241,3761,33705,522,14914,69,270,5086,9,1148,12565,1212,5238,69,6231,1127,498,561,180,2841,232,9160,7931,5649,15888,16261,807,755,2476,887,492,653,2592,2156,4953,1242,7426,727,1320,752,12141,3209,257,17213,1710,39444,19,4489,160,20395,17922,11,1199,9264,12,7830,2818,30119,3824,12504,261,812,338,1045,286,2534,"Brisbane Inner City",12488,10653,5221,2324,20,7773,243,886,1701,23020,1233,11,11669,18315,858,113552,1084,89,3,144,334,17,547,693,8649,3479,10110,465,0,8869,7483,338,60180,347,0,19992,1896,131,218,1148,556,11389,0,356,257,1584,1121,907,1053,24,1183,4874,0,16989,188,29918,5907,26657,16,16293,43672,590,4,257,0,447,3959,2518,9991,1340,5402,1839,2344,32,457,618,9618,576,116291,261,5543,942,122,16491,546,718,7083,6,8837,14232,490,1332,990,73888,3356,77454,69,1327,242,12,2725,508,20651,37,6550,40,555,7371,32,3,1550,1911,1051,4,945,0,8430,330,5744,30257,18133,8031,546,364,"305",1751
8,30,359,945,3911,54,2823,18575,13152,9956,4740,38157,836,15953,203,410,7409,44,1652,4614,1271,4525,78,5485,1936,857,1139,461,4707,325,13281,7469,5254,8124,16026,898,1108,1646,1266,698,1398,3706,3211,9917,823,6825,1220,1883,1417,11511,4298,342,18443,2024,34800,28,5784,243,21934,17918,23,2045,10222,58,7955,1882,15895,6383,18904,284,728,582,1083,572,2892,"Cairns",18233,13036,7119,2224,23,15288,511,1399,1223,8831,824,38,5336,20853,1243,108609,2077,215,0,347,392,30,992,680,12783,3527,8656,572,4,10927,8931,296,34530,404,10,16227,1769,176,231,2078,475,11023,3,321,1293,1759,747,2010,1454,123,1380,4131,0,11893,899,18244,6031,31025,16,16609,16413,936,12,575,8,726,6033,5063,10442,2084,11294,1920,2496,43,569,810,6417,481,114904,254,3805,1970,155,19713,487,914,7996,24,9193,7774,1153,1269,951,63436,6712,67744,392,1619,251,10,1920,884,7582,119,9733,175,1157,5477,27,11,2147,2009,1198,9,2104,16,11422,661,5767,16283,21147,14514,569,564,"306",1941
7,16,161,471,1910,31,1507,7537,6913,4666,2337,17615,24,7342,9,220,303,28,1025,2009,83,2113,38,2536,1003,32,19,266,2952,199,6931,4033,2511,3308,8125,347,625,636,808,407,840,2540,1689,5257,365,3756,630,740,930,5672,2810,172,9219,1172,15269,13,291,98,11761,8889,11,813,5516,47,3435,1094,6864,3710,8538,113,398,231,439,344,153,"Darling Downs - Maranoa",8980,5323,4016,172,16,7521,26,42,507,3691,276,0,2660,10528,549,53310,1380,14,0,209,118,9,529,265,6007,1618,3809,310,0,5028,4423,137,14823,171,0,7728,977,65,68,38,261,5118,0,151,951,639,294,854,60,96,631,1692,0,4697,635,7141,3137,15503,7,9197,6146,18,4,25,3,22,3513,2980,4857,1055,5929,793,1658,21,227,319,2690,215,50684,136,1692,1186,53,8397,325,478,3904,3,4372,3553,588,99,78,29553,3692,34340,313,72,99,3,599,32,2451,63,6057,139,607,2012,14,3,981,828,565,7,936,5,6831,457,2606,7685,10548,6969,33,17,"307",1308
6,29,224,775,3317,86,2665,14413,11310,9565,4569,31803,79,14162,33,466,779,59,1257,4238,320,3643,58,5184,1589,109,96,602,3878,276,11173,7899,4439,6650,15560,611,1290,1396,959,824,1691,5188,2920,7157,797,7311,1376,1283,1684,11169,5835,409,16463,2031,29775,14,926,213,22563,17154,16,1182,9894,54,6855,1928,13740,4934,13541,168,761,544,878,694,493,"Central Queensland",14901,8412,8684,240,19,10275,76,117,1180,7644,597,5,5328,20527,1203,92998,2542,23,0,435,255,23,813,505,9326,3057,6803,683,0,8950,8178,210,30952,372,4,15363,1933,71,151,207,480,9444,0,231,1696,1124,701,1050,226,129,881,3158,0,9343,1144,15229,5986,29911,6,17453,12842,102,6,85,9,80,7542,3709,9257,1634,8148,1219,1988,17,499,714,5366,481,88532,282,3103,2381,100,15338,440,1089,7309,10,8249,7091,711,131,114,49435,4614,58202,548,178,151,14,1170,62,5204,169,12724,190,794,3973,13,29,2010,1294,801,3,1172,9,14514,856,5004,15722,18842,9580,165,42,"308",1526
10,78,819,1592,6274,106,6889,42735,22466,30715,10665,80292,833,36895,406,819,8169,80,4910,14960,924,11028,229,14394,3346,1160,1176,924,12600,1120,24566,20328,12447,20451,43132,1885,2364,3518,3671,1548,2795,9446,7784,21895,1748,19010,2579,3217,2694,29660,10729,746,38155,3053,81807,48,6536,503,54297,47023,71,3188,21762,65,18365,3627,40017,16511,37623,694,1725,1094,2230,1148,2133,"Gold Coast",32883,24481,17450,1831,57,29449,988,1524,2879,23684,1765,81,15752,52590,2535,236569,3957,416,6,706,711,47,1755,1413,25491,6342,21805,1384,9,23725,21314,728,80974,817,3,39069,3151,393,445,2074,1114,26456,0,795,2123,3192,1822,3199,2050,148,3469,10771,0,26385,1498,42020,15264,76435,31,42541,43378,894,22,1044,17,896,14922,11823,26698,2910,22008,5135,7877,65,1166,1672,14749,1063,259244,613,7282,3937,265,42138,1958,2130,18537,92,24115,19568,2115,1031,800,150161,15041,153272,625,1211,615,25,3657,1209,19700,216,24370,214,2716,11635,47,21,4508,5389,3052,22,2985,21,28175,1263,14011,38955,45492,31525,843,693,"309",5763
5,48,366,998,3314,128,3690,21971,13082,15776,6431,41739,100,22160,45,740,1004,110,1555,7239,115,5065,104,8302,2235,267,157,825,4923,269,12555,11056,6087,11069,22475,909,2007,2251,1265,1273,2165,7340,4103,8410,1322,10204,1641,1495,2803,17687,8276,649,20481,1816,43497,18,718,331,31800,24850,20,1255,12509,79,10673,2834,22328,6150,17054,253,1423,773,1400,868,237,"Ipswich",16714,10679,13084,179,20,11358,111,230,1873,11573,930,6,8537,30706,1679,122517,4121,31,6,608,392,32,1237,882,11432,3819,9690,1028,4,12583,12111,296,46998,527,18,21524,2287,158,235,219,948,13116,0,318,2560,1532,1145,1186,140,236,1472,4623,0,14686,1743,24200,9384,44491,13,24594,20653,62,7,143,11,118,11326,4338,13799,1453,8629,1940,2559,30,645,971,8125,724,126732,481,4751,3038,158,21255,507,1672,11483,3,12277,11259,722,90,86,70551,5337,76908,820,119,230,13,1914,76,9080,216,18664,306,861,6562,17,18,2587,2065,1306,8,1143,26,21358,1319,7026,22802,25088,11799,64,130,"310",2018
3,54,402,961,2762,139,3967,21833,9244,15820,6597,40441,149,22404,54,683,1032,112,1398,7032,92,4866,91,8536,1979,230,115,879,4533,190,12798,10964,5901,10745,22511,860,1948,1608,1182,1262,2367,7205,4432,9155,813,10161,1650,1376,2818,18197,8146,587,19507,1381,42571,14,679,263,31486,24775,25,1227,12149,90,10911,1625,21786,5546,17803,272,1416,725,1399,890,249,"Logan - Beaudesert",16601,9303,12598,176,14,12239,87,284,1835,11424,790,3,8788,30134,1651,119142,4191,31,4,642,350,27,1020,866,11913,2771,9292,1036,0,12436,12744,250,43967,534,7,20740,1409,143,204,192,890,12906,0,266,2630,1363,1141,1059,155,201,1604,4429,0,14865,1818,22690,9659,44529,15,24167,19804,79,15,132,19,120,10817,3926,13815,1147,9506,2206,2277,22,597,864,8301,696,125375,528,3183,3259,150,20928,275,1627,11495,12,12346,11043,600,105,70,70515,4833,77729,811,153,244,10,1557,85,8379,243,18019,289,695,6566,22,25,2536,2314,1445,6,1054,27,20739,1368,7002,21282,24586,12655,72,134,"311",1962
7,12,183,580,3490,41,2080,11844,11994,7526,3258,26622,218,10309,43,257,2142,31,889,3507,444,3052,45,3746,1252,216,261,449,2738,153,9136,6561,3626,5725,12669,447,775,1367,715,517,1181,4037,2279,5581,735,6097,963,1188,1121,7929,4533,222,14277,2296,25392,10,1602,172,17717,13896,14,1030,8124,28,5058,2443,11330,3454,10976,129,548,404,686,481,1113,"Mackay - Isaac - Whitsunday",12555,7528,6573,799,14,8367,109,352,907,6754,630,11,4023,15739,890,78105,1631,42,4,337,214,18,674,399,7456,3399,5437,420,0,7199,5998,141,27655,294,0,13547,2298,65,127,493,346,7314,0,163,1047,1103,521,850,302,90,657,2385,0,7795,743,13481,4181,22628,7,14054,11554,231,3,89,7,166,5711,2768,7335,1821,6535,891,1397,12,366,535,4548,383,71748,204,3881,1669,86,12346,206,645,5251,9,6572,5601,507,477,323,39447,3440,46788,307,670,118,4,1438,163,4804,111,9756,115,512,3248,14,8,1431,937,594,4,1066,10,11110,517,3690,14168,15325,7458,146,136,"312",1170
0,27,293,587,2025,87,3259,15067,8429,9914,5008,31405,108,15034,52,432,1184,68,2060,4516,220,3560,65,5849,1272,119,110,623,5580,561,10952,7332,4355,6884,15201,605,1272,1095,1474,833,1752,4402,3569,10410,633,6694,1338,962,1743,12325,4977,381,15029,1065,28792,23,756,262,21573,16978,16,1072,9521,45,7374,1225,13874,7105,15558,219,792,597,983,681,610,"Moreton Bay - North",14031,8405,7771,281,19,12827,92,165,1111,6550,457,5,5401,20272,1290,91538,2591,37,0,457,294,20,688,603,10800,2079,7016,699,0,9916,9743,254,26917,381,5,13729,1135,121,179,192,496,9744,0,269,1706,944,691,1236,205,123,1435,3457,0,9531,1181,13945,6475,31297,17,15964,11442,77,15,110,14,80,6622,5117,9641,1039,10096,1966,3264,26,527,788,5181,411,99380,298,2120,2433,115,16375,1051,1085,7662,6,8511,6994,872,172,113,58485,6241,60777,527,395,197,19,892,127,4887,165,11018,174,1202,4349,20,23,1962,2045,1298,3,1209,16,12751,846,5389,12968,19437,13796,82,65,"313",2182
3,17,245,358,1028,56,2603,15072,3537,9658,4222,26281,81,13026,30,376,608,51,758,4516,49,4181,59,5334,714,133,61,544,2366,145,7382,8442,4749,6160,17547,571,998,603,597,621,1137,4240,2871,5091,322,7902,1091,516,1297,11176,4783,335,12672,513,28848,5,395,249,22187,19110,12,425,7369,42,6396,633,12270,2993,10321,210,722,553,797,446,128,"Moreton Bay - South",9494,3848,7537,95,10,6903,70,134,1069,6753,279,8,5144,21097,1227,71169,1915,17,0,390,335,17,357,508,6897,1110,8029,539,0,7840,8065,232,25856,290,0,13776,559,85,215,101,485,9946,0,245,1133,544,684,430,112,67,1324,3845,0,8518,761,13627,5838,30387,7,17408,12118,39,3,101,9,68,6469,2104,10665,368,5141,1869,1402,11,515,763,4718,391,77150,241,1289,1582,123,13615,290,880,6631,11,9642,6119,265,61,34,42299,2599,45052,374,74,196,17,651,63,5362,154,10705,107,353,3802,6,5,1678,1948,1229,4,374,13,12321,620,5196,12225,15204,7568,50,54,"314",1095
3,21,144,384,1594,54,750,5157,6496,3589,1822,12298,32,4706,6,201,533,43,328,1571,140,1188,25,1419,876,53,41,262,988,71,5015,2731,1528,2972,4825,240,572,952,247,378,609,1809,915,3216,594,2404,416,629,910,3208,2128,157,6610,960,11324,4,443,80,8082,5663,8,723,4089,37,2210,1292,6146,1312,5817,59,396,226,594,292,331,"Queensland - Outback",6664,4293,3129,241,15,5314,45,45,646,3560,353,0,2020,6745,495,39599,1369,9,0,193,102,5,488,347,4125,1505,2072,268,0,3460,3072,69,13577,244,10,6161,980,48,63,75,258,3078,0,85,916,527,394,650,75,96,318,878,0,4083,616,6454,1790,10306,7,6035,5989,35,5,41,14,58,2543,1333,2933,932,4103,373,389,12,162,239,2411,250,34315,142,2003,906,46,5688,81,418,2499,0,2422,3174,319,141,101,19176,1727,24572,296,190,49,6,710,34,2426,68,4352,134,234,1669,8,15,660,403,263,4,852,22,5254,454,1551,7123,7552,4309,38,13,"315",298
6,43,505,724,2814,52,4730,23121,10390,14109,6990,49424,367,21096,333,493,3703,37,3842,6710,318,7059,102,8588,1525,529,387,527,10529,615,17831,11841,7980,9210,25240,1277,1319,1248,3121,824,1820,4967,5284,17800,625,11045,1858,1485,1356,17622,5595,447,22642,1333,43629,36,2864,330,32694,27575,30,1641,13057,44,10504,1148,18143,13088,26377,509,846,737,1239,712,762,"Sunshine Coast",22846,11657,9456,831,34,22480,714,622,1369,10036,626,70,7401,31048,1587,141141,1960,384,3,398,511,39,804,774,18916,2550,14254,740,0,15587,13739,518,36248,460,8,20509,1301,221,313,663,567,17303,0,556,1062,1253,874,1979,419,68,2459,7197,0,13085,746,19149,9034,46372,31,24966,18107,274,10,794,11,392,8189,9987,15733,1452,17517,3675,5855,45,770,1098,7205,494,158458,278,2325,2531,201,26785,1101,1191,10589,45,14192,8930,1326,527,298,96735,12212,95186,318,448,479,11,1174,255,8075,130,13156,108,1675,5880,36,11,3169,3787,2227,13,1797,16,15057,612,9328,17098,28644,24363,162,255,"316",4658
5,11,188,453,1184,41,1907,9318,4608,7872,2881,18690,112,10739,24,299,561,35,1211,3688,130,2343,46,4272,946,57,53,377,3467,267,6337,4741,2730,5127,9878,382,857,681,932,561,970,3031,2106,5332,365,4429,784,621,1019,8795,3456,259,8790,568,17840,15,385,109,13761,10851,13,609,5473,39,5392,649,10245,4409,9034,139,548,305,557,335,274,"Toowoomba",8165,5193,5193,186,15,6308,24,142,807,5338,319,0,4190,13126,767,56488,1497,9,3,272,185,14,491,352,6265,1185,4634,493,4,5828,5908,191,19569,206,0,8528,596,66,129,73,357,6124,0,207,903,585,491,662,73,66,732,2292,0,5735,633,9991,4529,19807,9,10580,9382,23,5,36,3,39,4436,2796,6108,605,4988,1138,2244,25,299,410,3144,316,62637,195,1261,1309,54,9895,621,747,5351,4,5450,5112,499,106,83,37076,3437,37729,271,145,127,10,612,35,4043,109,7469,105,721,2594,16,4,1184,1195,658,10,559,5,8647,474,3390,9577,11301,7221,39,33,"317",1597
3,34,252,719,2559,74,2874,15225,9861,13431,4648,30283,140,16488,49,483,1300,57,1396,6142,253,3531,69,6342,1601,151,112,561,4286,252,10508,7307,4219,8939,15409,600,1293,1866,1123,807,1549,4322,3159,7539,1146,6758,1274,1251,1731,13388,4980,421,14589,1308,29374,16,946,182,20990,17001,9,1225,8987,54,8011,1648,18402,5441,14241,218,884,467,956,591,546,"Townsville",13795,8690,8038,562,17,10924,103,205,1311,8735,715,5,7290,20305,1154,93318,2542,32,0,420,260,22,885,585,9703,2382,6813,676,0,9329,8876,239,31849,363,6,14153,1280,92,158,198,581,9213,0,258,1591,1103,803,1265,163,120,1069,3286,0,9829,1089,16228,7051,30336,12,15876,15431,80,3,111,16,101,6815,3927,9698,1296,8427,1539,2198,37,457,638,5477,516,96512,299,2854,2136,98,15693,353,1093,8478,10,8653,9467,711,348,213,56183,4894,61524,500,293,208,7,1209,78,6694,140,11140,178,849,4352,27,17,1897,1618,974,4,1325,15,13009,813,4998,15618,18317,10537,84,66,"318",1798
13,38,329,825,3208,77,3307,16197,12700,9320,5028,38163,255,16830,62,421,1844,69,2899,4111,414,4061,83,6255,1762,156,160,512,8660,603,16736,7471,4887,7014,16040,786,1313,1239,2267,897,1777,4410,3671,17647,702,6881,1473,1535,1911,13335,4961,356,18161,1680,30634,21,1411,221,22571,17704,36,1921,11465,62,8225,1307,14138,10828,22956,248,784,527,969,689,910,"Wide Bay",21061,12062,8077,783,26,22542,114,420,1104,6510,537,3,5207,22090,1188,119068,2800,48,4,379,330,23,939,592,17201,2574,8009,708,0,12386,9568,272,27635,378,3,14443,1403,174,205,292,496,10810,0,297,1936,1167,683,2370,230,177,1381,3946,0,10132,1343,14440,7076,32842,16,17012,11318,133,7,115,12,110,7014,9098,10229,1934,18560,1722,4172,33,473,695,5462,426,125781,288,2363,2468,128,19998,842,1062,8607,12,9164,7125,1640,456,322,79024,11036,82389,594,497,211,8,1053,129,4808,129,11428,239,1810,4672,22,16,2282,1811,1194,9,2493,14,13041,893,5925,13195,23852,21949,100,170,"319",3289
