othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, gcc_name16, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, gcc_code16, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, christnty_sevnth_dy_advntst_m, sb_osb_nra_sb_f, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sb_osb_nra_osb_p
520,1111,1028,575,7601,326621,13997,536,6396,2213,505,4720,"Rest of NSW",2512,699522,372907,12954,5867,7086,66389,1341813,1301717,2643536,56848,11502,22751,9200,4367,26635,11248,4081,5119,30214,8843,2838,1355,7203,2112,921,4176,4671,1190,10688,1780,34710,2135,16419,18295,13385,1179,1626929,3915,2534,"1RNSW",330163,5871,4822,39,307929,3885,6084,7034,1677,3316,301400,5850,631564,11122,1640,766104,5275,11261,860823,5170,3151,272140,580065,121994,12761,48402,6147,8928,21692,4727,10876,857,320597,53413,119807,1679,92787,826,44381,16,687760,21,367158,2861,11122,255632,1844,24498,133637,4705
241,25673,503,12746,133571,571594,253436,12929,119864,12377,263,26996,"Greater Sydney",14621,1206971,635380,50625,25796,24827,53794,2447221,2376766,4823991,108213,80885,165600,5991,12189,50813,84719,2561,3424,57397,23519,10933,2379,23123,4502,2084,11076,12445,2415,9733,6020,59845,6413,28004,31842,28550,2106,2496030,12434,4490,"1GSYD",634702,5341,4390,10922,311488,6808,6196,12182,1654,3212,578424,89392,1213126,170161,1560,1177277,80767,11362,1318745,5165,5377,268854,580341,208336,104840,50749,6711,81197,186037,5104,11812,18240,562417,43356,97150,35196,95299,16957,44549,5604,1188280,5313,625869,3788,24264,425538,2680,52819,217202,6470
90,491,180,263,5594,232249,10125,220,4529,1438,88,3143,"Rest of Vic.",1706,489105,256852,7196,3326,3869,52369,729694,704128,1433818,29940,4791,9445,4264,2345,13926,4651,1788,2481,16017,3826,1529,496,3877,3988,1724,1756,2072,2265,12859,882,18623,1049,8728,9900,5769,419,762003,1933,924,"2RVIC",171230,6937,5926,5,103564,2146,1420,3886,939,1878,154641,3239,325868,5905,942,353470,2661,2503,408541,1088,1742,86698,190261,71078,6444,24674,2490,4785,11232,1872,4357,314,229165,40939,93299,602,46869,284,22198,3,482988,3,253829,1335,4903,147643,881,10670,76566,2209
109,15339,224,7576,98537,681268,186654,7761,88112,22037,119,49601,"Greater Melbourne",27564,1411108,729839,65297,34684,30617,59886,2285616,2199597,4485211,116344,95187,195052,6007,8462,54004,99860,2496,3512,62337,17849,7014,2143,15472,6879,3037,8311,9536,3839,15019,4673,58780,5089,27238,31544,22882,1806,2075002,9756,3946,"2GMEL",554174,8406,6611,2729,188156,7075,4373,12819,955,1895,496142,69377,1050312,128940,946,965453,59566,8082,1109548,3712,5747,151871,340028,200729,94164,37995,5744,76392,170553,4516,10254,21614,671282,44254,104138,41643,70046,20029,32047,1378,1391233,1356,719952,4200,19659,406021,2798,42540,205292,6999
138,1974,273,1003,17677,333381,33826,971,16152,5514,133,12456,"Greater Brisbane",6943,707185,373803,21609,10837,10771,57753,1153351,1117452,2270800,69563,10631,21752,5580,5125,32650,11127,2413,3166,36915,13122,3754,3083,8880,3194,1427,6207,6917,1769,23804,6287,49340,6887,23354,25978,18884,2773,1218141,13179,5857,"3GBRI",258613,12896,10905,56,162058,4399,4779,7824,632,1207,229948,17486,488563,33485,581,568378,16004,8845,649763,4063,3430,141029,303083,100804,25384,31443,5858,19095,44476,4590,10451,1090,327443,45576,103332,2195,60099,1111,28657,25,695088,32,367642,2499,16266,209874,1752,35147,109072,4257
495,957,966,526,5981,321793,10986,434,5009,2214,470,4963,"Rest of Qld",2749,687177,365387,13803,6462,7337,73781,1222294,1197426,2419724,73403,5009,10518,6805,4647,34541,5506,2906,3906,38871,10798,3224,2214,7868,5162,2364,5148,5648,2798,32544,3482,38148,3839,18108,20039,20150,1998,1411957,7318,4216,"3RQLD",277748,17419,15130,42,219113,3687,4693,6693,927,1881,254506,6584,532259,12405,950,666672,5828,8569,745283,3880,3005,195860,414968,120384,15564,40030,8159,10570,26135,6309,14465,1101,315786,60730,134514,2178,78181,1079,38157,17,675498,22,359712,2985,17063,255082,1981,37210,134698,4965
145,38,299,19,904,61648,1392,19,488,384,157,813,"Rest of SA",430,133997,72354,2136,967,1174,23393,187706,190368,378074,10304,1396,2599,1305,631,4969,1203,583,721,5335,1278,387,330,1023,1459,634,627,656,825,24438,261,4501,328,2172,2324,2341,336,198515,591,664,"4RSAU",28505,12835,11607,0,21464,570,370,1029,103,213,26213,405,54711,737,112,93619,328,685,104893,310,457,19026,40486,17796,1344,3271,884,1020,2355,636,1511,42,60796,19713,43106,81,6354,42,3083,0,132335,0,71538,385,1928,38854,243,4272,21061,629
89,1690,179,852,14621,222584,27121,838,12503,3703,85,7983,"Greater Adelaide",4279,467881,245291,14100,6985,7115,43043,661823,633888,1295714,36125,18857,38594,2785,3320,16633,19732,1161,1631,19487,5296,2613,1710,5938,3406,1424,2465,2835,1985,27202,1170,21951,1416,10197,11755,8026,1531,623978,2584,3233,"4GADE",130749,15146,12054,3,70104,2391,1103,4399,317,605,115276,11616,246021,22165,289,285541,10542,2055,338435,954,2000,56856,126956,54179,15967,6157,2415,12912,28877,1892,4308,489,219045,31964,75009,951,11403,464,5248,0,460926,3,241878,1529,6711,110645,1015,14740,56460,2544
111,2632,218,1323,25248,297665,47398,1311,22153,5148,103,11486,"Greater Perth",6338,634404,336736,19955,10018,9941,22932,980326,963536,1943858,66029,10899,22464,3198,4685,30585,11558,1356,1844,35444,12438,3571,1451,8253,5063,2191,5809,6630,2877,5723,2463,32755,2827,15438,17319,11665,1271,966198,5291,2729,"5GPER",224750,3133,2593,29,145461,3467,2561,6055,608,1210,203664,19452,428418,36684,601,450482,17237,4567,515718,2002,2587,122927,268381,88032,26908,18810,4523,20761,47666,3509,8029,2676,293060,16822,39754,5187,35830,2516,17018,11,624948,16,331890,2013,10002,186361,1373,21663,98335,3385
488,93,893,57,1770,81488,3199,32,1425,186,407,413,"Rest of WA",227,179649,98167,3046,1383,1656,9157,253230,270936,524167,17486,641,1241,1181,1073,8402,602,509,674,9081,4045,670,358,1737,2408,1078,1978,2065,1332,2176,710,9288,784,4599,4685,2390,311,263211,1492,676,"5RWAU",50797,1187,991,4,44247,835,1347,1441,279,577,50321,1151,101115,2014,299,128120,865,2536,135088,1196,608,41503,85755,29678,2916,4337,1729,2148,5062,1298,3027,110,80327,7619,16778,219,8849,111,4510,3,177283,0,96963,554,2092,67768,369,4489,38092,924
10,132,27,68,803,43310,1549,65,750,191,11,382,"Greater Hobart",195,90005,46692,1156,501,647,3385,114422,107930,222356,4226,845,1694,508,447,1926,841,233,273,2301,825,302,200,747,284,119,379,448,163,605,312,1698,312,770,929,1084,126,105116,622,322,"6GHOB",20492,347,260,0,24182,459,215,812,136,274,17393,835,37879,1627,141,47528,787,387,57588,172,350,19799,43979,10095,1183,1848,368,848,2032,262,625,64,42717,2268,5656,133,3391,69,1546,0,88797,0,46076,240,934,20737,152,2021,10642,394
31,68,47,42,529,49493,946,28,419,44,23,106,"Rest of Tas.",59,104626,55130,1220,543,681,7677,145646,140977,286627,8542,266,503,1015,612,4041,240,389,629,4505,1375,453,188,1068,625,278,651,725,348,728,432,5868,510,2735,3135,1796,171,148051,944,360,"6RTAS",21941,385,344,0,32005,456,331,829,562,1074,19527,478,41469,928,512,68680,443,613,79368,283,372,27727,59731,14019,1150,3574,804,855,2005,610,1419,69,48846,5989,13667,114,6754,50,3187,0,103324,0,54481,276,1508,28739,186,3305,14717,467
1544,52,3013,27,168,10274,286,27,124,91,1473,188,"Rest of NT",101,21864,11589,3433,1739,1693,4257,44157,45287,89443,2093,81,134,96,131,1024,49,48,46,1071,1863,99,41,230,40,19,896,966,23,4990,150,3268,151,1527,1744,688,26,46780,299,69,"7RNTE",8129,2659,2333,0,3627,86,142,146,4,12,7791,305,15914,551,4,22749,249,243,24031,98,55,3494,7118,7303,462,358,57,308,768,48,106,24,10169,4184,8438,35,765,18,413,0,21613,0,11447,46,580,15724,59,1268,8426,102
47,107,91,52,1131,20577,2024,53,892,188,50,440,"Greater Darwin",257,45458,24879,1003,509,494,2308,64939,71889,136828,3069,2147,4069,238,258,1505,1927,99,134,1567,693,208,30,468,144,74,320,376,76,996,150,1791,160,871,915,812,41,61344,308,70,"7GDAR",14843,539,459,0,5934,235,200,411,3,6,14666,1626,29509,3007,3,30370,1376,381,30973,174,174,5928,11863,8473,2119,857,239,1645,3764,189,431,32,20285,2108,4420,79,1743,43,880,0,44839,0,24553,116,697,20161,91,1515,11688,208
24,625,66,309,5195,69552,9864,321,4667,1034,38,2142,"Australian Capital Territory",1106,146124,76571,3703,1803,1901,5467,201425,195432,396857,8932,2957,6127,665,828,4132,3170,305,358,4794,2312,672,217,1493,282,131,1126,1184,149,2257,391,4101,380,1917,2187,2146,204,180124,771,419,"8ACTE",46934,1291,964,25,23485,1023,358,1825,33,53,41612,5184,88544,10208,22,83271,5024,687,96854,332,802,19203,42688,17597,5490,3977,395,4418,9908,278,674,341,68309,4134,9595,642,7352,305,3378,5,143549,12,75239,429,1872,36293,303,4015,18693,733
7,0,31,0,387,430,758,0,376,0,21,0,"Other Territories",0,960,535,46,14,25,100,2090,2432,4523,85,3,8,4,6,43,3,4,0,46,21,7,0,17,0,0,10,10,0,8,3,21,0,14,13,7,0,1602,3,0,"9OTER",218,4,3,0,356,0,26,5,0,0,199,6,417,8,0,768,9,52,834,27,4,336,694,259,159,36,3,182,339,7,10,0,418,98,198,5,64,5,23,0,946,0,524,8,10,804,3,20,543,14
