hysc_y11_e_ind_p, apaei_5_14_no_in_f, apaei_25ov_no_ind_f, vfdif_sa2_ot_indig_m, hysc_y11_e_ind_f, hysc_y11_e_ind_m, vfdif_sa2_ot_indig_p, apaei_5_14_no_in_p, apaei_25ov_no_ind_p, apaei_5_14_no_in_m, vfdif_sa2_ot_indig_f, apaei_25ov_no_ind_m, vfdif_sa2_t_indst_nsp, apaei_15_19_ind_f, apaei_20_24_no_ind_f, vfdif_sa2_t_indst_nsm, apaei_15_19_ind_p, vfdif_sa2_ot_totf, apaei_15_19_ind_m, apaei_20_24_no_ind_p, vfdif_sa2_t_indst_nsf, saindl_se_vw_wel_in_p, apaei_20_24_no_ind_m, vis_tot_vis_nonind_f, saindl_se_vw_wel_in_m, saindl_se_vw_wel_in_f, vfdif_sa2_nt_totf, apaei_0_4_totp, apaei_0_4_in_st_nsf, apaei_0_4_totf, lsah_aus_ind_lang_ind_p, apaei_0_4_totm, vfdif_sa2_ot_totm, lsah_aus_ind_lang_ind_m, lsah_aus_ind_lang_ind_f, vfdif_sa2_ot_totp, vfdif_sa2_t_totp, vfdif_sa2_t_totm, vfdif_sa2_t_totf, apaei_0_4_in_st_nsm, apaei_0_4_in_st_nsp, vis_tot_vis_indigstat_nsp, vfdif_sa2_t_nonind_m, vfdif_sa2_t_nonind_p, saindl_se_vw_we_totf, vis_tot_vis_indigstat_nsm, auabrigtrrl_indig_f, auabrigtrrl_indig_m, apaei_25ov_totf, vfdif_sa2_t_indig_m, saindl_se_vw_we_totm, saindl_se_vw_we_totp, vis_tot_vis_indigstat_nsf, lsh_aus_ind_lan_indst_nsf, vfdif_sa2_t_indig_f, vfdif_sa2_t_indig_p, vfdif_sa2_t_nonind_f, hysc_y12_e_ind_f, saindl_se_nw_na_in_f, hysc_y10_e_ind_p, hysc_y10_e_ind_m, apaei_25ov_totp, apaei_25ov_totm, hysc_y12_e_ind_m, saindl_se_nw_na_in_m, hysc_y12_e_ind_p, hysc_y10_e_ind_f, hysc_y11_e_in_s_nsf, saindl_se_nw_na_in_p, vfdif_sa2_act_indig_m, hysc_y11_e_totp, apaei_15_19_totm, hysc_y11_e_totm, apaei_15_19_totp, sa4_name16, apaei_15_19_totf, apaei_20_24_in_st_nsf, vfdif_sa2_act_indig_p, hysc_y10_e_no_in_m, apaei_20_24_in_st_nsm, saindl_se_nw_na_in_st_nsp, saindl_se_nw_na_in_st_nsm, vfdif_sa2_act_indig_f, hysc_y11_e_totf, apaei_5_14_totm, lsah_eng_on_ind_sta_nsm, lsah_eng_on_ind_sta_nsp, apaei_5_14_totf, lsah_eng_on_ind_sta_nsf, apaei_20_24_in_st_nsp, vis_tot_visitors_totm, vis_tot_visitors_totp, vis_tot_visitors_totf, apaei_5_14_in_st_nsf, apaei_5_14_in_st_nsp, vfdif_sa2_act_nonind_f, apaei_5_14_in_st_nsm, saindl_se_nw_na_totf, vfdif_sa2_act_nonind_m, saindl_se_nw_na_totm, saindl_se_nw_na_totp, lsah_eng_onl_nonind_p, lsah_eng_onl_nonind_m, auabrigtrrl_indst_nsp, vfdif_sa2_act_nonind_p, lsah_eng_onl_nonind_f, hysc_y12_e_no_in_m, vfdif_sa2_act_totm, hysc_y12_e_no_in_p, apaei_5_14_totp, auabrigtrrl_indst_nsm, apaei_15_19_no_in_m, apaei_15_19_no_in_p, vfdif_sa2_act_totp, vfdif_sa2_act_totf, apaei_15_19_no_in_f, auabrigtrrl_indst_nsf, hysc_y12_e_no_in_f, saindl_se_nw_na_in_st_nsf, vfdif_sa2_nt_indst_nsp, vis_tot_vis_indig_p, lsah_aus_ind_lan_no_ind_f, vis_tot_vis_indig_m, lsh_austn_indig_lang_totm, lsh_austn_indig_lang_totf, vis_tot_vis_indig_f, lsh_aus_ind_lan_indst_nsm, hysc_y11_e_in_s_nsp, lsh_aus_ind_lan_indst_nsp, hysc_y11_e_in_s_nsm, auabrigtrrl_no_ind_f, saindl_se_vw_we_no_in_p, auabrigtrrl_no_ind_p, auabrigtrrl_indig_p, auabrigtrrl_no_ind_m, saindl_se_vw_we_no_in_m, lsh_austn_indig_lang_totp, saindl_se_vw_we_no_in_f, vfdif_sa2_act_indst_nsm, apaei_20_24_totf, vfdif_sa2_act_indst_nsp, apaei_20_24_totp, apaei_20_24_totm, apaei_15_19_i_st_nsf, vfdif_sa2_act_indst_nsf, lsah_eng_onl_indig_p, saindl_se_vw_we_i_st_nsf, lsah_eng_onl_indig_f, saindl_se_nw_na_no_in_p, saindl_se_nw_na_no_in_m, apaei_0_4_no_ind_f, saindl_se_vw_we_i_st_nsp, saindl_se_vw_we_i_st_nsm, hysc_y11_e_no_in_f, lsah_eng_onl_indig_m, hysc_y11_e_no_in_m, apaei_0_4_no_ind_p, lsah_aus_ind_lan_no_ind_p, hysc_y11_e_no_in_p, saindl_se_nw_na_no_in_f, apaei_0_4_no_ind_m, apaei_20_24_ind_p, vfdif_sa2_nt_totp, apaei_20_24_ind_m, vfdif_sa2_nt_totm, lsah_aus_ind_lan_no_ind_m, apaei_20_24_ind_f, lsah_eng_only_totm, hysc_y12_e_in_st_nsm, apaei_25ov_in_st_nsp, vfdif_sa2_ot_indst_nsf, hysc_y12_e_in_st_nsf, auabrigtrrl_totf, apaei_25ov_in_st_nsm, apaei_5_14_ind_f, hysc_y12_e_in_st_nsp, vfdif_sa2_ot_indst_nsm, lsah_eng_only_totp, apaei_25ov_in_st_nsf, vfdif_sa2_ot_indst_nsp, apaei_25ov_ind_m, lsah_eng_only_totf, apaei_25ov_ind_p, apaei_25ov_ind_f, vfdif_sa2_ot_nonind_p, hysc_y12_e_totp, hysc_y12_e_totm, vfdif_sa2_ot_nonind_m, apaei_5_14_ind_p, sa4_code16, apaei_5_14_ind_m, apaei_15_19_i_st_nsm, apaei_0_4_ind_p, apaei_0_4_ind_m, vis_tot_vis_nonind_p, vis_tot_vis_nonind_m, auabrigtrrl_totm, apaei_0_4_ind_f, apaei_15_19_i_st_nsp, hysc_y12_e_totf, auabrigtrrl_totp, vfdif_sa2_ot_nonind_f
503,10735,3927,0,237,260,0,22175,5931,11436,0,2001,4988,233,1311,3028,498,0,259,2418,1961,53,1109,8914,25,27,31,2755,20,1296,53,1455,0,28,30,0,24812,13845,10966,6,28,5005,10496,19249,33,3042,32,24,4109,324,26,60,1970,0,254,576,8753,739,0,1555,724,6195,2087,636,0,1372,830,68,0,29,12956,4416,6405,8710,"Capital Region",4297,9,53,23601,6,0,0,26,6554,12511,1103,2178,11757,1071,19,14028,25182,11149,163,355,926,190,3,938,0,4,179781,89349,0,1872,90432,34908,1143,74351,24262,0,4086,8084,2235,1092,3997,0,39438,0,11,605,4,336,33,35,274,0,142,0,73,0,3,6,58,3,0,60,3,175,1370,313,2519,1154,67,138,7402,0,3755,0,0,1194,0,0,6251,3644,6074,2522,6,12319,0,1327,79,69,35,37,3,41,94095,284,43,0,312,33,18,852,590,0,189352,22,0,69,95256,225,152,0,76311,35823,0,1736,"101",881,64,207,119,19563,10655,28,87,136,40490,62,0
854,16970,6208,0,415,437,0,34978,9293,18000,0,3086,1064,474,2706,564,953,8,478,5145,504,61,2440,4755,33,26,15,5184,23,2518,63,2658,0,31,29,8,10948,5612,5337,21,45,1091,4741,9309,26,575,33,39,6538,310,33,61,513,0,260,567,4568,1367,5,2729,1345,9766,3229,1104,0,2468,1383,93,3,0,18744,7140,9614,14300,"Central Coast",7156,26,3,37473,23,0,0,3,9137,19640,1381,2809,18468,1425,43,5818,11351,5535,199,421,72,226,5,57,0,3,274923,133599,0,131,141328,49423,58,104392,38111,0,6590,13196,141,83,6606,0,54967,0,4,597,0,322,31,29,274,0,193,0,97,0,0,7,76,6,0,63,0,0,2896,9,5477,2587,72,9,12045,0,6074,0,0,2307,0,0,8625,5969,9080,4758,0,17704,0,2452,294,34,126,13,0,167,140949,356,58,0,386,33,22,1301,747,0,289774,39,0,126,148827,415,292,3,107606,50879,0,2716,"102",1410,78,373,189,9664,4912,50,188,153,56725,78,3
900,10375,3534,0,483,417,0,21478,5309,11100,0,1774,1577,455,1545,981,880,0,429,2675,594,129,1126,3748,69,65,10,3056,22,1555,135,1504,0,69,71,0,10275,5777,4500,20,41,1611,4369,7948,67,1003,27,33,3834,426,70,139,609,0,319,746,3583,1207,3,2729,1357,5748,1911,861,0,2065,1374,53,6,3,11277,4353,5559,8833,"Central West",4478,9,3,24603,12,0,0,0,5716,12770,1120,2241,11958,1116,24,6009,10707,4699,200,409,72,208,3,64,3,5,165852,82007,0,142,83851,25049,92,56185,24730,0,3863,7825,171,87,3964,0,31135,0,3,797,3,455,75,70,343,0,107,0,56,0,4,0,61,0,4,144,3,20,1685,33,2895,1207,60,11,12505,0,6308,0,0,1353,0,0,5187,6200,5085,2634,5,10273,0,1286,198,38,69,26,3,126,89329,209,37,0,238,27,8,1383,453,0,180602,26,0,132,91275,411,282,0,58704,26122,0,2845,"103",1464,68,378,202,8297,4551,33,177,126,32579,61,0
492,6519,2523,0,270,221,0,13329,3634,6807,0,1113,1342,255,764,693,485,3,234,1314,651,110,547,4406,61,47,17,1842,12,890,115,954,3,62,54,10,10622,5466,5164,6,23,1361,4508,8796,53,700,34,29,2726,262,67,127,657,0,226,487,4291,696,0,1589,747,3929,1200,552,0,1242,843,44,0,0,8178,2734,4013,5459,"Coffs Harbour - Grafton",2719,3,0,16131,10,0,0,0,4169,7745,659,1396,7389,739,11,5586,10883,5298,111,236,77,123,0,75,0,0,111129,54369,0,150,56758,17837,101,38511,15138,0,2470,4905,190,96,2435,0,20679,0,0,509,8,271,72,56,232,3,90,3,46,0,10,3,64,3,9,127,8,24,844,41,1445,597,34,16,6929,0,3590,0,0,788,3,3,3858,3340,3740,1613,10,7602,0,829,114,31,42,18,9,71,58373,145,41,0,181,34,16,758,325,0,119455,25,3,72,61086,249,176,4,40076,18525,3,1575,"104",811,29,203,117,9015,4606,31,90,63,21549,63,4
1350,4430,1636,0,758,595,0,9177,2375,4742,0,745,1954,522,501,1116,1025,0,504,846,839,141,345,3148,62,71,6,1821,13,899,165,921,0,76,87,0,9750,5388,4360,10,27,1969,3660,6700,77,1128,43,54,1981,614,68,144,847,0,483,1101,3034,1552,8,4015,1907,2853,875,1070,8,2623,2113,29,11,3,6548,1984,3167,4046,"Far West and Orana",2065,5,7,12071,3,0,0,3,3379,6731,657,1334,6388,676,10,5579,10088,4514,110,196,30,89,8,41,4,10,79251,39272,3,71,39975,11611,52,26181,13118,0,1440,2953,104,46,1507,3,14565,0,0,1196,3,680,85,88,518,0,77,0,46,0,3,7,98,0,4,172,3,9,635,21,1049,411,34,12,17874,0,9235,0,0,637,0,0,2593,8641,2534,1263,3,5127,0,627,194,20,66,9,4,129,48570,135,32,0,169,55,14,1849,299,0,98454,22,0,118,49888,443,326,0,29105,12823,0,3752,"105",1897,39,530,275,6922,3774,63,257,70,16279,110,0
1029,14041,4240,0,525,503,0,28861,6257,14814,0,2014,1415,504,1785,829,971,0,465,3130,581,82,1347,4560,47,38,20,4191,19,2079,83,2112,0,46,41,0,11586,6349,5236,16,42,1434,5159,9542,40,842,23,26,4538,359,48,83,592,0,274,637,4387,1278,3,3311,1664,6673,2134,1021,0,2298,1643,82,4,0,16235,5602,8462,11140,"Hunter Valley exc Newcastle",5537,9,3,34397,6,0,0,3,7775,16859,1185,2410,15905,1221,20,6539,11976,5440,197,406,50,204,3,60,0,3,220102,108692,0,110,111410,30662,76,67226,32760,0,5066,10030,139,63,4965,0,36563,0,3,665,0,384,48,44,287,0,143,0,63,0,3,0,50,0,0,89,0,14,1910,25,3348,1436,72,13,14387,0,7240,0,0,1853,0,0,7164,7149,7896,3710,3,15061,0,1860,206,48,84,29,3,119,117025,241,42,0,241,25,19,1662,477,0,236895,28,0,105,119871,370,271,0,70001,31924,0,3496,"106",1832,73,443,232,9878,5313,26,207,145,38078,52,0
586,15464,5958,0,295,292,0,31697,10268,16231,0,4306,990,342,4280,520,648,0,309,8807,464,31,4523,4171,16,17,8,4902,24,2382,34,2524,0,21,18,0,9832,5187,4646,28,51,998,4456,8454,15,524,28,36,6190,209,16,39,473,0,184,394,4001,985,0,1724,854,10628,4439,801,0,1786,873,71,0,0,15634,7227,8221,14497,"Illawarra",7276,21,0,32309,31,0,0,0,7414,17357,1048,2161,16519,1115,53,5349,10186,4839,149,341,62,199,0,68,0,0,226187,111647,0,136,114538,49735,93,102656,33872,0,6861,13720,166,73,6866,0,52921,0,0,417,3,224,21,22,194,0,135,0,68,3,5,7,65,4,3,43,3,16,4403,29,9050,4643,73,8,8060,0,4145,0,0,2235,0,0,7050,3921,7869,4606,5,14919,0,2368,191,20,88,12,3,105,116613,257,60,0,333,37,18,908,587,0,236409,40,0,116,119797,302,184,0,105026,50789,0,1832,"107",929,57,246,127,8764,4595,35,122,130,54233,72,0
883,9199,3272,0,483,398,0,18758,4625,9566,0,1357,1444,427,931,774,852,0,430,1556,672,128,625,5212,59,70,18,2856,25,1393,151,1466,0,70,85,3,12581,6547,6035,18,40,1463,5394,10452,79,780,45,39,3618,371,64,138,682,0,309,685,5061,1086,3,2682,1249,5113,1499,899,4,1985,1430,70,7,0,12487,4056,6215,8091,"Mid North Coast",4039,8,0,26611,3,0,0,0,6268,11310,1168,2420,10825,1252,15,6757,12996,6242,191,399,99,212,4,89,4,14,176143,85648,3,185,90493,24764,98,53482,22142,0,3553,7090,217,118,3537,3,28722,0,7,761,8,416,75,90,344,0,146,0,79,3,6,6,82,10,3,164,5,10,1035,35,1731,695,75,22,12571,0,6470,0,0,1132,0,0,5721,6103,5739,2385,10,11456,0,1252,157,37,62,22,3,98,92920,206,56,0,246,50,22,1442,456,0,191140,36,0,124,98220,432,314,3,55926,25871,0,2979,"108",1539,69,435,193,10774,5558,50,246,145,30053,100,0
268,5960,1895,0,148,118,0,12021,2811,6058,0,923,1232,123,914,743,263,0,133,1498,486,76,588,2812,36,42,10,1531,8,747,90,777,0,41,48,0,7499,4204,3291,6,15,1243,3344,6052,45,748,67,60,1985,118,40,89,493,0,99,220,2708,316,4,732,365,2939,953,227,0,546,366,54,3,3,11233,2320,5575,4730,"Murray",2414,0,3,12135,0,0,0,0,5659,6601,581,1154,6504,579,3,4319,7734,3417,75,189,23,111,3,30,0,3,96562,47595,3,56,48967,14407,46,32711,13098,3,2158,4418,78,35,2257,0,18306,0,3,236,3,128,45,52,113,3,127,3,69,0,3,5,128,5,3,95,0,14,935,21,1541,607,29,5,3612,0,1873,0,0,703,3,3,5458,1745,5383,1415,8,10846,0,713,41,14,18,7,3,26,49918,96,21,0,135,66,8,465,235,0,101332,14,0,26,51413,105,79,0,33491,14734,0,891,"109",429,25,100,59,6258,3445,70,45,50,18759,135,0
1223,8499,2973,0,666,561,0,17204,4502,8707,0,1532,1908,559,1507,1123,1105,0,550,2631,783,89,1121,4006,51,40,9,2853,19,1405,100,1452,0,54,45,0,11507,6412,5094,13,38,1936,4670,8520,40,1138,38,46,3293,613,55,96,796,0,463,1071,3846,1548,3,3793,1810,4968,1671,1074,8,2624,1983,37,9,0,9768,3780,4736,7637,"New England and North West",3853,4,3,19660,6,0,0,7,5037,10832,978,1930,10540,950,15,6638,11963,5319,145,289,34,145,3,37,8,9,139634,68442,0,63,71191,22294,50,49672,21373,0,3186,6447,88,44,3262,0,27378,0,0,1195,0,678,58,47,518,0,88,0,46,3,3,3,80,0,0,107,0,12,1639,21,2872,1231,35,8,17658,0,9037,0,0,1121,0,0,4332,8620,4130,2267,3,8455,0,1146,227,32,99,21,0,131,78038,183,45,0,228,39,13,1902,416,0,159220,26,0,124,81184,422,299,0,52707,23556,0,3879,"110",1976,47,552,290,8828,4826,48,257,83,29157,85,0
942,17684,7879,0,464,476,0,36279,13214,18596,0,5339,1249,486,5197,732,937,0,450,9992,512,79,4796,5607,40,42,19,5491,23,2629,83,2860,0,41,43,0,13454,7195,6257,15,43,1269,6058,11484,45,738,46,51,8227,397,37,83,522,0,328,721,5418,1639,0,3025,1485,13759,5533,1309,0,2952,1542,55,0,4,19187,8106,10207,15999,"Newcastle and Lake Macquarie",7892,17,0,40727,22,0,0,0,8982,20313,1066,2215,19246,1147,35,7426,13899,6472,146,340,40,194,0,47,0,0,301966,148402,0,88,153564,59637,56,125063,39557,0,7601,14951,95,43,7354,0,65417,0,0,758,3,414,40,47,346,0,109,0,53,0,3,3,96,0,0,85,3,5,5438,12,10420,4981,55,3,13445,0,6803,0,0,2423,0,0,8465,6639,9672,5053,3,18134,0,2625,388,33,170,16,3,224,156106,257,53,0,296,48,18,1420,550,0,317626,31,0,176,161519,494,312,0,128568,61206,0,2938,"111",1517,55,395,218,11876,6272,51,183,115,67359,100,0
658,11347,4843,0,341,313,0,23181,7136,11840,0,2295,2159,357,1484,1116,684,0,330,2626,1043,129,1142,6899,63,64,25,2996,15,1468,143,1521,0,65,75,0,16051,8058,7993,29,48,2179,6614,13305,72,1129,54,38,5157,327,69,147,1056,0,260,589,6687,1058,3,2096,1025,7615,2453,873,3,1931,1079,61,7,0,14634,4787,7241,9698,"Richmond - Tweed",4914,12,0,26472,9,0,0,0,7390,13169,1183,2393,12530,1217,25,8275,16508,8231,180,394,80,214,3,66,3,7,198417,96358,3,143,102058,35293,77,75755,25705,3,4409,8884,167,89,4471,0,40460,0,10,628,9,348,76,81,273,0,140,0,74,7,13,13,93,8,9,156,9,10,1592,19,2813,1225,78,7,9282,0,4685,0,0,1337,0,0,6985,4593,6854,2697,13,13835,0,1367,170,48,72,22,9,100,102133,278,64,0,359,64,26,1006,636,0,210091,40,0,135,107960,408,278,0,78326,36439,0,2122,"112",1116,53,251,133,13697,6797,46,115,131,41881,112,0
559,8268,2626,0,284,269,0,16874,4106,8609,0,1482,1227,262,1507,782,494,0,228,2455,441,60,943,3159,28,38,22,2267,13,1069,66,1195,0,25,45,0,8777,5076,3704,14,18,1244,4000,7028,48,793,22,19,2825,292,31,72,448,0,225,519,3033,745,0,1680,836,4373,1543,546,0,1287,849,43,0,3,9215,3358,4697,6733,"Riverina",3375,9,9,18239,7,0,0,3,4523,9678,736,1501,9311,767,18,5219,9069,3857,124,277,95,149,0,110,0,0,122086,60229,0,204,61860,19278,131,43017,18988,0,3083,6161,251,118,3079,0,23734,0,5,550,10,302,29,47,247,0,89,0,45,0,10,0,32,0,4,82,10,25,1593,42,2583,991,39,18,7912,0,4055,0,0,957,0,0,4193,3859,4381,2004,10,8573,0,1050,110,53,42,28,4,70,64816,136,30,0,165,22,14,917,302,0,131503,17,0,54,66680,236,181,0,44599,19958,0,1842,"113",923,43,239,130,7280,4122,16,110,77,24649,37,0
424,6842,2314,0,216,206,0,14075,3381,7236,0,1062,851,214,733,482,409,0,189,1344,369,37,612,2801,17,26,6,2113,10,1020,47,1088,0,20,28,0,6842,3614,3228,19,26,863,2950,5653,26,488,16,28,2460,184,18,40,374,0,159,341,2699,573,0,1341,685,3588,1127,503,0,1072,654,43,0,9,8444,2786,4226,5747,"Southern Highlands and Shoalhaven",2957,7,7,17387,5,0,0,0,4219,7994,569,1284,7672,710,7,3738,7081,3343,119,227,101,105,0,109,0,0,122896,59905,0,204,62999,20969,133,45017,15670,0,2572,5278,254,116,2700,0,24042,0,0,369,0,204,25,28,171,0,75,0,31,0,3,0,37,0,3,48,0,19,787,41,1435,651,39,16,6071,0,3100,0,0,896,0,0,3958,2972,3993,1849,3,7952,0,955,82,21,36,8,3,48,63440,137,25,0,168,16,3,720,308,0,130255,21,0,60,66812,177,123,0,46399,21614,0,1369,"114",653,23,228,108,5849,3049,28,120,67,24783,39,0
117,15201,4072,0,59,52,0,31379,6701,16171,0,2632,418,98,3311,240,187,0,89,6790,182,12,3477,2217,3,6,0,3796,4,1846,13,1948,0,8,12,0,4650,2288,2364,10,11,422,2024,4169,6,240,7,9,4124,31,3,12,186,0,33,68,2147,248,0,413,213,6775,2652,218,0,465,204,35,0,0,9818,7328,5113,14263,"Sydney - Baulkham Hills and Hawkesbury",6936,3,0,17045,14,0,0,0,4703,16489,404,877,15460,477,19,2343,4779,2436,74,172,16,89,0,11,0,0,153500,76743,0,32,76755,53914,19,111392,31951,0,7206,14009,39,19,6805,0,57481,0,0,67,0,28,8,12,40,0,62,0,28,0,0,0,12,0,0,13,0,3,3342,10,6848,3508,29,6,1763,0,856,0,0,1819,0,0,4607,908,5033,3727,0,9635,0,1913,38,7,15,7,0,26,78055,190,21,0,218,6,3,183,405,0,156141,14,0,16,78085,54,30,0,112260,54321,0,404,"115",221,35,56,34,4287,2075,9,21,66,57940,13,0
632,20980,7174,3,354,276,3,43482,11835,22503,0,4662,626,304,4187,378,634,0,333,8443,245,28,4258,3011,8,19,3,5567,17,2730,31,2844,3,12,21,3,6989,3757,3229,18,32,646,3158,5965,19,386,16,11,7370,229,12,35,261,0,173,401,2812,891,0,1917,931,12121,4748,702,0,1592,985,41,3,0,15205,9124,7891,17922,"Sydney - Blacktown",8800,30,3,25296,27,0,0,3,7319,23753,668,1332,22187,661,53,3989,7446,3451,181,359,22,178,3,20,0,5,171593,86054,0,40,85539,69848,23,143093,45942,0,8714,17159,51,30,8440,0,73243,0,0,428,0,247,18,22,182,0,97,0,58,0,0,0,25,0,0,40,0,8,4289,7,8623,4336,50,0,8904,0,4555,0,0,2577,0,0,6924,4355,7553,5243,3,14478,0,2666,136,9,59,3,0,76,91078,317,46,0,314,16,13,1030,628,0,181836,34,0,75,90754,238,159,0,145314,70866,0,2096,"116",1074,73,287,152,6369,3360,11,139,125,74445,25,0
272,7179,14459,0,137,137,0,14714,26517,7538,0,12051,12373,113,11584,7625,214,3,102,20864,4752,73,9284,7891,40,34,58,2487,10,1230,78,1249,4,41,40,9,30443,17761,12682,12,15,12427,9881,17589,42,7643,48,35,14656,263,40,77,4780,0,222,483,7712,748,0,728,367,26861,12204,746,3,1493,362,15,5,3,9718,4817,5390,10438,"Sydney - City and Inner South",5615,37,3,11158,25,0,0,0,4330,7862,453,848,7513,393,63,17979,30883,12905,56,117,217,62,0,282,3,5,164057,86746,0,499,77306,101063,558,200512,15382,0,4687,10166,958,398,5474,0,99447,0,100,494,3,266,41,43,228,0,47,0,32,0,3,3,86,0,0,85,3,270,11695,454,21072,9377,32,182,3845,0,1953,0,0,1189,0,0,4180,1890,5219,2390,3,9401,0,1200,140,175,63,118,0,76,89087,416,101,0,395,48,46,281,811,3,168746,51,3,102,79660,247,141,5,202821,102225,0,548,"117",266,27,75,41,17961,10068,38,37,57,100587,84,3
