133,11410,7963,0,83,49,0,23166,14155,11751,0,6195,2054,84,6606,1073,157,0,75,13103,976,47,6500,3771,22,22,12,3805,11,1860,54,1942,0,23,30,0,9409,4700,4708,12,21,2068,3533,7181,22,1083,14,20,8064,96,22,48,977,0,83,180,3648,422,0,407,192,14317,6256,396,0,816,211,34,0,0,8387,5704,4218,11444,"Sydney - Eastern Suburbs",5745,25,0,9094,17,0,0,0,4168,12062,460,968,11684,506,42,4814,9661,4847,84,171,77,88,0,70,0,0,171526,83488,0,146,88032,76977,111,160829,23744,0,5594,11227,222,110,5634,0,83854,0,6,201,0,100,27,30,100,0,68,0,33,4,0,9,38,3,0,56,0,44,6674,77,13247,6574,30,32,2187,0,1118,0,0,1833,0,0,4050,1069,4138,3729,0,8185,0,1894,102,36,59,24,0,52,85025,284,40,0,336,18,25,196,622,0,174685,16,0,44,89659,122,77,0,162269,77657,0,409,"118",212,33,51,34,7402,3630,28,19,63,84615,45,0
197,29891,14728,0,105,93,0,61597,26458,31702,0,11731,1315,131,9621,701,236,0,105,20023,616,42,10405,6288,19,30,15,8003,26,3834,42,4168,0,19,30,0,13617,6978,6638,27,53,1373,6177,12125,29,732,26,19,14888,97,18,44,636,0,77,181,5941,610,0,773,344,26729,11840,502,0,1113,427,51,0,0,21604,14166,11372,28203,"Sydney - Inner South West",14037,34,0,35018,55,0,0,0,10229,32293,766,1538,30459,773,90,7353,14369,7014,223,479,51,253,0,60,0,0,203697,102627,0,110,101069,135668,87,273847,62751,0,13981,27792,148,58,13812,0,138179,0,6,189,3,106,18,29,88,0,120,0,65,0,3,0,42,0,0,44,3,29,9724,35,20249,10522,95,7,3512,0,1870,0,0,3765,0,0,10071,1646,11220,7863,3,21291,0,4104,129,27,59,19,0,72,105035,582,119,0,573,22,61,341,1159,0,208749,59,0,53,103711,157,99,0,276110,136753,0,674,"119",333,86,84,37,12805,6515,19,50,182,139362,48,0
101,12920,9215,0,53,47,0,26264,16335,13348,0,7111,569,63,6349,319,102,0,37,12642,247,29,6292,3596,12,20,10,3824,19,1889,33,1941,0,8,17,0,7431,3622,3815,12,28,578,3249,6746,20,327,12,5,9314,58,14,29,251,0,59,119,3502,373,0,345,151,16497,7186,344,0,716,192,29,0,0,8961,5831,4628,11743,"Sydney - Inner West",5914,13,0,12275,20,0,0,0,4329,13594,419,869,13153,452,32,3717,7630,3914,74,169,61,87,0,47,0,0,149299,73612,0,104,75685,82841,50,171116,26747,0,5753,11571,117,67,5817,0,88270,0,0,119,0,58,10,17,61,0,52,0,25,0,3,0,22,0,3,30,0,9,6392,15,12746,6357,32,10,1789,0,955,0,0,1853,0,0,4249,827,4555,3764,3,8805,0,1908,70,16,43,3,3,32,74858,282,57,0,308,10,26,166,595,0,151957,34,0,47,77102,110,61,3,172425,83465,0,314,"120",156,41,32,18,6935,3338,7,15,70,88955,18,0
68,23327,10535,0,28,37,0,47902,17327,24574,0,6785,1235,52,6297,636,121,0,62,12279,597,15,5979,5791,6,7,20,6541,14,3183,18,3359,0,5,12,0,12136,5830,6306,10,26,1248,5143,10797,7,647,11,3,10607,47,5,12,601,0,60,110,5654,260,0,182,98,17439,6829,236,0,503,77,36,0,0,13780,10695,6525,21015,"Sydney - North Sydney and Hornsby",10321,13,0,13294,25,0,0,0,7259,24791,576,1185,23515,610,39,5943,12405,6460,79,189,88,108,0,69,0,3,267228,131178,0,160,136054,119072,88,248244,48307,0,10596,20821,186,104,10227,0,129178,0,4,107,0,47,7,13,62,0,57,0,20,0,0,3,9,0,0,16,0,11,6332,25,12353,6021,39,10,1077,0,544,0,0,3151,0,0,7189,538,6463,6482,0,13657,0,3331,40,42,23,20,0,22,132286,392,48,0,442,10,23,100,834,0,269493,32,0,21,137209,62,38,0,249584,119703,0,214,"121",110,41,31,15,11042,5247,3,15,82,129884,16,0
83,15427,5110,0,42,39,0,31793,8375,16360,0,3267,669,57,2775,361,105,0,45,5619,309,5,2846,2869,8,0,9,4355,6,2118,5,2233,4,8,0,4,6119,3008,3105,12,20,677,2599,5360,0,360,6,7,5164,52,9,7,317,0,38,89,2762,258,0,233,126,8472,3306,239,0,506,104,31,0,0,10904,6181,5532,12058,"Sydney - Northern Beaches",5877,16,0,15484,10,0,0,0,5370,16604,536,1176,15652,633,24,3083,6305,3222,97,184,32,82,0,31,0,0,199269,98416,0,62,100849,63517,32,130678,32252,0,6097,11888,69,31,5790,0,67166,0,3,88,0,52,9,0,43,0,64,0,31,0,0,3,11,3,0,7,0,3,2821,5,5684,2861,29,0,1333,0,642,0,0,2087,0,0,5295,689,5462,4295,0,10758,0,2200,41,19,14,9,0,24,99645,270,29,0,321,6,17,123,591,0,201772,17,0,28,102131,65,35,4,131771,64028,4,276,"122",156,39,43,21,5543,2670,5,25,67,67740,11,0
590,16064,4744,0,302,294,0,32973,7424,16913,0,2677,684,346,2786,375,661,0,319,5308,309,41,2516,2877,17,18,13,4434,21,2193,44,2246,0,20,23,0,6885,3634,3256,16,32,703,3050,5812,20,389,24,19,4958,203,23,44,315,0,188,392,2755,1097,0,1802,860,7727,2767,712,0,1807,946,47,0,0,13933,6638,7171,13186,"Sydney - Outer South West",6554,24,0,27698,12,0,0,0,6765,18208,754,1493,17219,739,31,3796,7181,3386,161,317,17,161,0,14,0,0,181161,89605,5,32,91551,42910,18,91320,35433,5,6278,12434,36,19,6159,0,48405,0,0,399,0,210,27,23,186,0,84,0,35,0,3,0,51,0,0,47,0,5,2900,10,5498,2593,49,3,8616,0,4517,0,0,2039,0,0,6417,4104,6838,4136,3,13256,0,2096,155,22,65,7,0,94,94465,248,38,0,271,24,16,1003,517,0,191267,20,0,74,96808,260,190,0,93644,43873,0,2136,"123",1137,44,263,133,6072,3195,27,136,93,49770,53,0
769,17453,6147,0,397,366,0,35570,9521,18116,0,3376,795,413,3047,470,840,0,430,5770,328,55,2720,4117,21,32,11,5128,22,2507,61,2620,3,21,41,3,9523,5028,4496,14,38,807,4308,8290,39,480,33,26,6454,252,25,58,325,0,192,443,3977,1313,0,2342,1184,9949,3503,975,0,2290,1158,45,0,0,16791,7428,8619,14703,"Sydney - Outer West and Blue Mountains",7276,18,0,33651,26,0,0,0,8172,19539,845,1743,18731,896,39,5197,9839,4646,146,293,38,143,0,36,0,0,238117,116948,3,80,121167,50504,44,108566,38276,3,6935,13743,93,44,6809,0,58059,0,5,468,0,264,25,38,202,0,88,0,42,3,4,3,57,0,3,64,0,6,3200,11,6029,2832,51,3,10625,0,5361,0,0,2326,0,0,7728,5262,8206,4756,4,15936,0,2426,226,27,86,19,3,137,123059,278,56,0,280,38,26,1131,561,0,250484,32,0,100,127425,374,273,3,111413,51757,3,2412,"124",1282,57,340,179,8564,4447,23,160,112,59656,63,0
195,23482,12018,0,117,78,0,48409,21618,24928,0,9599,2741,86,6779,1527,172,0,85,14601,1216,12,7827,4889,5,6,19,6500,17,3208,12,3294,0,5,6,0,13045,7099,5949,13,36,2774,5490,10145,6,1543,9,7,12149,85,5,12,1230,0,76,159,4655,387,0,659,317,21823,9680,353,0,739,343,51,0,0,15976,10135,8573,19933,"Sydney - Parramatta",9802,34,0,25395,30,0,0,0,7405,25357,605,1226,23869,626,68,7402,13595,6196,158,345,63,191,0,61,0,0,151958,76866,0,123,75095,110004,108,217625,49227,0,9990,19647,221,108,9660,0,107619,0,8,168,0,93,5,6,74,0,94,0,44,0,0,0,14,0,0,12,0,42,6856,92,14744,7891,55,49,2779,0,1430,0,0,3161,0,0,7236,1345,8445,6408,0,15688,0,3249,76,39,33,23,0,44,78811,441,90,0,444,5,37,234,888,0,155954,50,0,51,77145,122,71,0,219245,110798,0,471,"125",234,59,56,30,10655,5763,4,25,111,108450,14,0
36,9195,5435,0,12,27,0,18976,9526,9787,0,4086,631,24,4492,386,64,0,42,8943,250,8,4451,2193,3,0,6,2630,0,1325,8,1306,0,3,0,0,4874,2492,2379,3,4,644,2075,4191,0,391,0,3,5473,31,3,8,254,0,24,52,2115,139,0,89,47,9598,4130,123,0,255,44,13,0,0,5896,5193,3057,9707,"Sydney - Ryde",4517,16,0,7586,15,0,0,0,2842,9903,255,534,9300,281,35,2558,5028,2468,47,99,42,54,0,48,0,0,91566,45743,0,92,45827,53255,66,108818,19204,0,5135,9603,122,58,4470,0,55556,0,0,55,0,32,3,4,24,0,29,0,18,0,0,0,3,0,0,8,0,14,4540,33,9013,4472,18,19,596,0,290,0,0,1313,0,0,2816,309,3015,2610,0,5831,0,1299,43,13,14,4,0,27,46304,204,35,0,198,0,18,58,410,0,92694,17,0,19,46392,31,17,0,109482,53585,0,124,"126",68,22,9,4,4333,2136,3,5,44,55899,3,0
284,24175,8640,0,152,129,0,49577,14001,25399,0,5365,969,157,6107,544,320,0,159,11696,428,22,5587,4327,5,16,10,5418,25,2635,27,2785,3,9,17,3,9891,5291,4597,19,45,1009,4626,8696,16,560,5,7,8775,115,5,22,447,0,98,220,4075,516,0,943,439,14211,5439,386,0,904,508,62,0,0,18124,11537,9670,22965,"Sydney - South West",11430,31,3,29759,32,0,0,3,8454,26155,619,1231,24871,608,68,5533,10418,4885,219,441,24,217,0,35,0,0,136502,69924,0,59,66581,77701,46,159295,51022,0,11293,22496,72,27,11200,0,81594,0,9,230,0,124,12,17,110,0,155,0,93,0,0,0,15,0,0,26,0,10,6199,14,11850,5657,69,3,4399,0,2238,0,0,2559,0,0,8238,2165,9447,5253,0,17681,0,2692,94,51,32,38,0,58,72704,380,84,0,412,5,35,472,797,0,142130,51,0,35,69429,124,87,3,160992,78467,3,1003,"127",534,76,123,68,9182,4851,7,54,145,82526,15,0
145,12608,3809,0,84,64,0,25869,6183,13261,0,2374,384,84,2564,197,167,0,82,5001,183,10,2439,2280,3,5,3,3794,6,1779,8,2011,0,8,5,0,4893,2488,2404,6,15,399,2232,4419,6,206,7,11,3882,57,7,12,189,0,27,86,2190,390,0,488,255,6295,2409,367,0,761,228,26,0,0,9979,5482,5401,10863,"Sydney - Sutherland",5381,12,0,20699,16,0,0,0,4578,13612,530,1062,12914,535,28,2581,5083,2500,70,171,18,102,0,18,0,0,177749,87382,0,31,90368,46533,22,97057,26527,0,5363,10627,38,21,5263,0,50529,0,0,92,0,60,6,6,33,0,74,0,49,0,0,0,15,0,0,13,0,3,2608,7,5086,2477,38,0,2316,0,1146,0,0,1740,0,0,4465,1167,5295,3711,0,9759,0,1967,54,11,18,4,0,37,89076,196,30,0,219,7,10,235,420,0,181129,20,0,34,92052,79,53,0,98232,47094,0,483,"128",251,36,64,32,4591,2309,11,30,74,51141,15,0
244,8427,2795,0,130,116,0,17251,4412,8826,0,1613,716,88,1786,369,150,0,65,3263,341,22,1478,2807,12,13,25,1873,9,952,32,916,0,11,20,0,6350,3257,3095,9,21,729,2826,5530,13,376,16,16,2865,62,8,23,353,0,47,106,2706,251,0,323,149,4506,1647,168,3,423,175,74,5,0,19499,3495,9581,7013,"Ballarat",3519,9,0,12088,9,0,0,0,9919,9182,741,1541,8771,800,16,3356,6560,3203,92,206,11,109,0,16,3,5,135830,66150,0,20,69676,23797,16,53283,17953,0,3391,6797,20,11,3406,0,29486,0,0,113,0,67,15,20,49,0,171,0,93,0,0,0,29,0,0,30,0,0,1819,0,3328,1508,30,0,2051,0,1104,0,0,924,0,0,9713,947,9367,1804,0,19087,0,878,41,51,20,29,0,23,67839,187,34,0,234,14,11,250,422,0,139419,27,0,22,71583,65,38,0,54132,24155,0,499,"201",250,40,48,26,5714,2909,19,19,64,29976,29,0
190,8001,2539,0,118,74,0,16476,3856,8475,0,1314,676,81,1638,391,154,0,67,2817,288,12,1173,2585,11,4,12,1656,10,808,12,852,0,11,4,0,5963,3116,2848,13,25,687,2656,5154,4,394,12,7,2589,74,8,12,299,0,57,137,2498,239,0,355,184,3930,1345,193,0,434,173,74,0,0,18325,3339,9086,6769,"Bendigo",3435,5,0,11676,9,0,0,0,9233,8827,754,1539,8345,785,16,3206,6147,2945,124,246,8,127,0,11,0,0,130948,63634,0,21,67309,22666,15,51229,17170,0,3225,6541,27,8,3310,0,28564,0,3,145,0,85,8,4,61,0,154,0,82,3,0,3,17,3,0,12,0,0,1671,3,2877,1204,39,0,2129,0,1080,0,0,779,0,0,9045,1045,8929,1590,0,17979,0,809,42,33,18,12,0,23,65439,187,23,0,221,16,3,222,402,0,134612,20,0,22,69179,56,34,0,52067,23045,0,448,"202",229,38,43,24,5314,2731,11,17,80,29025,26,0
287,15030,5331,0,140,146,0,30815,8618,15782,0,3286,1002,120,3583,531,219,0,103,6821,476,23,3235,4285,9,13,11,3417,18,1628,23,1796,0,9,13,0,9512,4836,4678,18,33,1018,4230,8376,15,534,9,10,5451,75,13,24,483,0,62,135,4149,352,0,375,191,8786,3334,245,0,600,180,146,0,0,34692,6740,17688,13369,"Geelong",6627,18,0,18073,17,0,0,0,17006,16264,1026,2173,15473,1142,38,4956,9777,4829,153,334,13,184,0,21,0,0,230718,111886,0,38,118832,48366,26,105860,31733,0,6582,13029,40,17,6448,0,57496,0,0,135,0,80,13,15,62,0,295,0,147,0,3,0,20,0,0,24,0,3,3642,4,6925,3283,62,3,2508,0,1309,0,0,1570,0,0,16714,1199,17404,3326,3,34118,0,1754,68,24,25,14,0,43,114106,304,66,0,375,9,22,291,673,0,235394,42,0,29,121288,101,70,0,107139,48917,0,583,"203",289,64,66,26,8626,4338,10,38,125,58222,20,0
258,8825,2800,0,128,130,0,18060,4066,9231,0,1270,3312,96,1021,1764,199,0,104,1930,1548,17,909,6348,20,3,61,1893,19,957,24,935,0,18,0,0,16990,9110,7881,12,29,3327,7225,13461,3,1779,3,3,2871,121,18,24,1555,0,99,218,6236,285,0,454,229,4170,1299,221,0,506,226,107,0,0,22223,3766,11165,7351,"Hume",3583,10,6,15275,8,0,0,3,11061,9661,881,1771,9279,894,15,9253,17261,8001,133,273,41,137,0,57,0,0,145233,71650,0,100,73583,22774,64,51730,18945,0,3600,7035,117,59,3440,0,28953,0,24,222,4,124,21,6,105,0,204,0,97,0,3,0,10,0,0,23,4,7,1058,20,1995,941,50,14,2579,0,1361,0,0,909,0,0,10824,1222,10933,1805,3,21757,0,891,53,140,22,75,0,32,73744,184,30,0,245,3,16,319,426,0,149577,21,0,18,75833,69,52,0,52661,23178,0,610,"204",288,63,60,29,13703,7355,8,32,117,29485,9,0
402,13769,4156,0,217,181,0,27934,5898,14168,0,1738,1526,147,1648,800,300,0,155,2836,724,26,1188,4918,9,12,13,2690,17,1346,24,1344,0,9,17,0,11465,5883,5582,25,43,1552,4958,9704,19,811,12,8,4263,124,9,27,739,0,112,239,4744,354,0,649,312,6048,1790,306,0,663,340,155,0,0,37521,5552,18760,10999,"Latrobe - Gippsland",5443,5,0,23908,3,0,0,0,18760,14813,1370,2785,14421,1417,12,6083,11858,5771,206,433,27,222,0,19,0,0,230615,112931,0,49,117680,33765,19,77740,29236,0,5318,10549,57,34,5232,0,43972,0,0,250,0,129,9,16,115,0,334,0,175,0,0,0,18,0,0,28,0,3,1688,5,2900,1215,69,4,3944,0,2009,0,0,1275,0,0,18380,1932,18407,2550,0,36786,0,1277,55,28,23,23,0,34,116236,278,41,0,336,12,11,451,616,0,237339,31,0,30,121103,107,74,0,79020,34352,0,864,"205",418,83,102,47,10064,5142,8,57,151,44669,17,0
186,17851,24024,0,95,95,0,35860,42339,18003,0,18313,14381,93,21067,7270,148,3,62,38249,7112,46,17179,15001,24,24,120,5382,25,2654,44,2733,3,25,24,11,43941,21867,22068,24,56,14425,14382,29124,26,7291,18,16,24233,219,29,57,7134,0,215,432,14740,658,0,275,166,42714,18476,597,0,1256,111,126,0,3,30244,10665,15625,23160,"Melbourne - Inner",12495,77,3,13796,58,0,0,3,14615,18291,1022,2060,18133,1032,137,22102,44462,22361,142,321,194,177,0,195,0,0,357534,175298,0,388,182235,179989,338,378041,36418,0,10540,22888,663,323,12341,0,198055,0,80,438,4,217,33,26,218,0,245,0,115,0,8,6,29,6,8,53,4,141,21224,269,38536,17310,60,131,2230,0,1113,0,0,2615,0,0,14394,1119,15422,5299,8,29814,0,2687,155,258,70,141,8,81,177437,745,180,0,815,18,69,132,1557,0,361824,104,0,94,184383,195,101,5,380852,181321,3,239,"206",107,64,26,19,29597,14594,22,14,125,199525,35,3
67,19221,9144,0,38,32,0,39335,16277,20115,0,7138,765,25,8692,370,56,3,32,18107,399,6,9412,4480,3,4,20,4512,10,2191,6,2318,0,3,4,8,9084,4295,4785,13,17,778,3902,8264,3,366,7,3,9202,29,5,12,409,0,29,55,4362,133,0,73,36,16387,7181,142,0,284,35,93,0,0,23697,10986,11150,22011,"Melbourne - Inner East",11022,27,0,10148,35,0,0,0,12546,20269,606,1320,19354,714,62,4394,9310,4920,95,198,31,102,0,31,0,0,213244,103918,0,58,109327,101199,27,210269,39628,0,10888,21811,60,34,10924,0,109069,0,3,63,0,33,5,3,32,0,162,0,65,0,3,0,13,0,0,12,0,0,8748,3,18212,9463,73,0,606,0,292,0,0,2183,0,0,12417,318,11051,4477,3,23467,0,2299,40,39,17,17,0,19,104833,428,60,0,460,7,26,38,889,0,215176,33,0,24,110336,42,25,8,211445,101775,0,88,"207",51,63,11,9,8471,3992,3,6,136,109667,13,3
104,23019,8765,0,40,64,0,47080,14715,24064,0,5949,977,30,7406,491,63,0,36,14454,487,8,7051,4621,9,0,12,5974,13,2900,15,3070,0,9,3,0,9599,4640,4962,21,31,995,4119,8570,0,505,3,0,8843,30,15,16,494,0,21,52,4452,226,0,108,54,14822,5981,213,0,435,58,144,0,0,30631,10215,14879,20263,"Melbourne - Inner South",10045,26,0,14178,29,0,0,0,15746,24266,811,1800,23247,988,50,4759,9898,5135,143,266,27,125,0,17,0,0,286906,139089,0,44,147812,104638,18,220430,47515,0,10111,20086,48,26,9971,0,115794,0,3,53,0,32,15,3,21,0,237,0,94,0,3,0,3,0,3,12,0,0,7445,4,14547,7098,47,0,969,0,492,0,0,2880,0,0,15560,474,14728,5913,3,30286,0,3038,38,38,17,18,3,24,140373,440,54,0,511,3,16,80,946,0,289673,44,0,16,149298,48,38,0,221811,105283,0,168,"208",83,66,23,9,8850,4222,0,14,119,116530,6,0
380,26668,11092,0,182,198,0,55061,19099,28395,0,8004,1262,132,7889,619,243,0,115,15656,641,44,7770,5746,15,30,28,6731,30,3349,46,3374,0,15,30,0,12427,6178,6243,28,61,1297,5487,11011,33,643,26,17,11239,70,15,43,654,0,87,153,5523,577,0,541,273,19336,8100,400,0,977,271,170,0,0,43569,11986,22517,23835,"Melbourne - North East",11847,46,0,24321,55,0,0,0,21054,29059,1221,2477,27289,1252,98,6370,12863,6493,285,586,24,306,0,19,0,0,301364,148652,0,47,152712,107589,19,225248,56350,0,11778,23396,44,27,11622,0,117662,0,0,163,3,74,15,33,89,0,337,0,168,4,3,3,40,0,0,46,3,0,7992,0,15863,7870,103,0,3483,0,1799,0,0,3278,0,0,20694,1687,22154,6573,3,42853,0,3302,104,50,45,25,0,60,151561,601,104,0,642,26,47,336,1241,0,307322,57,0,48,155766,139,91,0,227471,108593,0,699,"209",365,100,91,50,11405,5655,14,43,200,118879,44,0
236,20647,7351,0,122,113,0,42493,12580,21850,0,5225,1081,82,4720,607,159,0,74,9627,470,27,4909,4030,15,11,15,4559,15,2217,27,2340,0,15,11,0,9124,4748,4382,24,38,1106,4084,7940,10,618,11,13,7452,53,15,26,485,0,52,106,3855,312,0,333,157,12747,5298,272,0,583,176,130,0,0,32797,9139,16880,18346,"Melbourne - North West",9214,29,0,19781,42,0,0,0,15914,22313,905,1754,21036,851,67,4937,9512,4576,188,436,22,250,0,16,0,0,195580,97093,0,38,98485,71293,25,148070,43354,0,8977,18015,52,23,9039,0,76779,0,8,112,0,53,15,10,59,0,275,0,146,0,0,0,27,0,0,26,0,9,4787,14,9760,4980,93,3,2084,0,1082,0,0,2181,0,0,15660,1008,16628,4473,0,32282,0,2294,64,38,33,23,0,35,99010,438,89,0,471,16,39,206,901,0,199430,48,0,32,100419,84,52,0,149563,72006,0,423,"210",214,84,42,23,8294,4266,13,21,176,77557,29,0
310,27422,9663,0,159,144,0,56581,15556,29166,0,5891,920,141,6210,491,235,0,95,12462,428,42,6255,5626,10,32,9,6576,15,3232,42,3345,0,12,34,0,11726,5771,5953,8,23,929,5223,10681,37,500,8,11,9765,55,11,51,434,0,69,122,5459,398,0,507,274,15707,5945,305,0,706,234,233,0,0,56522,13385,28775,26353,"Melbourne - Outer East",12968,32,0,31329,28,0,0,0,27739,29703,1416,2902,27941,1487,56,5949,12081,6133,196,440,16,243,0,27,0,0,379395,186709,0,41,192694,101880,28,219086,57644,0,13178,25917,51,22,12738,0,117205,0,3,133,8,59,13,42,70,0,427,0,196,3,10,3,24,0,3,56,8,3,6279,6,12580,6299,95,0,2742,0,1415,0,0,3183,0,0,27344,1330,28441,6490,10,55782,0,3312,66,27,24,18,3,44,189451,504,66,0,597,14,27,320,1096,0,385044,39,0,30,195595,83,58,0,220884,102692,0,623,"211",302,102,63,24,11014,5389,12,42,195,118193,30,0
326,42544,16977,0,159,165,0,87486,29153,44945,0,12176,1487,118,13732,803,257,0,136,27933,682,16,14206,8033,6,10,17,9453,39,4614,16,4837,0,6,10,0,17447,8985,8466,20,58,1522,8089,15775,11,826,12,7,17131,88,9,18,697,0,92,188,7683,474,0,499,277,29412,12274,350,0,827,225,212,0,0,63959,20852,33346,41142,"Melbourne - South East",20286,64,0,41327,77,0,0,0,30613,45615,1542,3183,43228,1637,140,9379,18207,8830,307,633,44,327,0,36,0,0,389915,195325,0,82,194590,162175,44,333533,88845,0,20574,40617,87,46,20042,0,171356,0,3,190,3,95,9,11,98,0,447,0,234,0,3,4,20,3,0,18,3,5,13831,7,28139,14310,128,3,3148,0,1613,0,0,4533,0,0,30240,1532,32948,9307,3,63185,0,4777,66,52,26,34,0,42,198399,834,158,0,899,18,63,379,1734,0,396245,92,0,35,197843,97,64,0,336093,163366,0,730,"212",347,142,85,38,16496,8460,8,47,267,172728,23,0
507,41730,17365,0,251,256,0,84995,29211,43270,0,11839,1465,186,9988,773,346,0,158,20419,691,36,10432,7914,20,18,21,9894,29,4837,39,5055,0,20,19,0,17131,8799,8335,44,74,1518,7922,15478,18,795,17,24,17578,109,20,41,717,0,82,193,7555,638,0,730,341,29562,11988,507,0,1146,389,201,0,0,58072,16964,30665,34029,"Melbourne - West",17063,67,0,37067,65,0,0,0,27403,44227,1550,3119,42629,1572,133,9190,17911,8716,435,873,37,440,0,30,0,0,370558,185435,0,63,185119,153406,39,315814,86856,0,16649,33389,74,38,16742,0,162411,0,3,199,0,109,23,19,86,0,443,0,237,0,0,0,40,3,0,39,0,9,10102,7,20640,10536,137,4,4391,0,2240,0,0,4756,0,0,26948,2151,30173,9718,0,57119,0,4963,89,51,34,30,0,55,189136,869,167,0,918,18,84,463,1790,0,378070,81,0,61,188934,187,123,0,318746,154786,0,982,"213",519,159,98,49,16198,8285,26,53,298,163963,40,0
