5010,2464,35,13,3,2548,7,0,12,0,3,0,9,3,14,5,73,6,81,40,24191,1116,32,0,37,0,54,25,0,11198,716,2227,12997,426,4358,22,2128,1139,43,18,61,146,122,3,76,206,111,2578,761,1925,0,7587,5070,2489,6,6648,17,11455,9,12000,23450,12,1892,748,0,3,0,1151,30,6,14235,88,197,1163,0,"Adelaide - Central and Hills",1991,748,2266,0,1558,3826,926,3,4879,0,79,2740,3,2136,445,480,44,471,0,758,3,12229,2782,23907,0,1254,5797,1241,5565,11678,23,590,13,56,1104,17,101,18,106,54,8,325,793,2170,98,4945,484,939,16593,21,457,31,38,12,16,5,3,483,6,8111,28,815,59,8478,3,43,334,24,28,4,2009,19,10,2235,8286,8,24439,6,3,11312,3,5,13129,47,0,12,6,12,520,3763,8639,16926,598,1531,720,1774,3459,54,22,11,17,1690,5,139,35,63,13,20,1154,79,3540,434,12,1816,18,1728,117,516,32,248,7647,"401",6696,14348,132,18
3551,1621,44,25,21,1928,10,3,41,3,26,0,10,13,58,30,57,31,141,15,16800,1104,133,0,45,0,209,75,0,7398,1389,4549,9400,833,9161,34,4613,2218,49,11,64,205,579,12,316,334,187,1974,1416,3715,10,4702,3623,1650,17,4078,64,18047,34,19018,37062,26,3597,1377,3,3,8,2224,71,3,8783,147,845,2292,3,"Adelaide - North",3771,1413,2146,9,1249,3399,1759,13,9468,7,63,5470,10,3999,897,862,16,854,7,1442,4,19951,5633,38848,0,2415,8214,2361,8030,18894,142,627,7,42,1079,16,416,36,78,43,10,790,1647,4105,427,9738,883,1811,23224,44,925,80,53,37,20,19,0,889,22,11336,14,1715,32,11888,4,303,824,162,21,17,3858,39,37,2098,11886,59,17084,0,9,7498,9,6,9586,270,6,39,28,91,456,3330,12436,24315,642,1233,1422,2648,5237,82,18,4,69,2593,22,245,54,125,46,32,2269,119,5588,848,8,2839,28,2749,747,446,46,1454,4768,"402",4122,8895,706,22
4129,1836,44,14,8,2293,3,0,15,0,10,0,5,13,25,10,65,19,139,26,18524,1068,66,0,45,0,116,50,0,7769,737,2904,10757,413,5280,29,2378,1150,45,13,74,216,196,17,100,219,108,2332,895,2325,0,5383,4195,1859,3,4064,25,14491,10,15150,29641,11,2252,873,0,0,0,1383,33,3,9441,115,460,1431,0,"Adelaide - South",2724,1077,2481,5,1411,3900,1012,5,6234,3,68,3449,3,2784,519,487,26,791,0,1095,0,15614,3527,30580,0,1678,6597,1654,6746,14967,63,588,5,45,1042,13,240,31,83,38,6,520,1310,2846,218,6377,516,1051,19601,19,541,38,49,19,22,15,6,805,17,9678,17,1342,44,9923,3,116,539,57,21,3,2770,15,21,2442,9988,39,18824,5,3,7883,9,9,10943,96,5,37,17,58,464,3841,10260,20251,601,1397,756,2152,4164,110,19,7,39,2010,18,195,69,98,23,39,1176,94,4314,420,12,2222,16,2091,361,450,32,714,5474,"403",4122,9597,358,23
2839,1302,36,23,11,1535,9,0,29,0,14,0,6,16,23,11,47,12,88,16,13245,743,53,0,32,0,109,49,0,5906,647,2375,7341,487,4343,32,1965,1133,37,8,54,140,168,12,76,155,81,1570,756,1792,3,3884,2893,1326,9,3317,32,7912,15,8305,16215,14,1732,729,3,0,4,997,40,4,7196,74,361,1035,3,"Adelaide - West",1811,701,1531,7,950,2478,882,7,4527,6,56,2477,3,2047,424,455,16,383,0,719,6,8693,2547,16967,0,1131,4357,1108,4390,8271,49,393,3,31,735,16,172,27,61,28,9,284,663,2114,197,4668,474,913,10767,19,440,42,39,20,16,8,6,398,14,5373,17,694,33,5396,0,81,294,33,15,8,1853,22,17,1496,5618,16,13441,0,0,5984,4,0,7456,94,0,29,19,38,343,2430,5619,11233,397,937,665,1228,2411,45,5,3,25,1178,11,103,26,52,13,23,1169,52,2510,503,3,1278,15,1238,299,340,25,591,3920,"404",3353,7276,288,12
254,74,7,3,9,177,0,0,5,0,8,0,0,4,12,8,8,6,22,0,1413,80,40,0,7,0,52,14,0,424,166,1373,986,44,2652,8,1279,212,7,0,3,22,135,4,84,140,72,185,145,479,0,384,262,76,0,189,13,4357,6,4699,9056,3,457,136,0,0,3,323,12,0,567,71,233,336,0,"Barossa - Yorke - Mid North",690,243,374,3,150,518,173,0,1505,0,8,897,0,606,99,73,0,239,3,249,3,4985,938,9635,0,457,2717,444,2592,4652,35,62,0,8,78,0,104,8,13,4,0,181,425,630,127,1568,81,189,5889,10,109,14,8,5,0,0,0,248,8,2868,0,438,5,3021,0,79,194,38,7,0,711,4,4,362,3031,13,1449,0,0,431,0,0,1019,57,0,10,5,17,27,505,3166,6197,62,142,170,648,1175,9,4,0,12,529,0,77,4,44,13,0,219,35,1262,45,0,689,3,575,210,25,18,432,397,"405",187,580,221,10
219,56,4,4,9,165,11,0,32,0,21,0,3,3,46,18,4,27,52,4,989,96,106,0,3,0,171,66,0,276,110,949,712,52,2342,21,1391,166,31,8,16,63,1182,14,680,103,43,176,114,361,0,150,229,56,3,49,11,3010,5,3253,6262,9,309,100,0,0,0,212,16,3,197,64,623,247,0,"South Australia - Outback",586,197,356,4,156,511,119,0,1149,0,8,716,0,432,78,41,4,128,0,222,0,3887,826,7523,0,427,2795,382,2456,3638,136,64,0,5,90,0,317,11,5,3,0,134,266,510,304,1337,59,149,3608,6,95,19,11,12,0,7,3,148,16,1805,0,312,0,1798,3,241,167,109,0,7,649,9,6,333,2155,34,1062,0,0,293,3,0,767,502,0,30,15,45,22,483,2142,4294,71,149,135,452,848,16,3,0,55,402,20,69,9,29,35,3,199,41,1107,66,3,563,5,540,593,23,10,1159,162,"406",54,215,565,9
436,133,11,11,10,303,7,0,20,0,16,0,5,5,22,9,12,16,46,3,2321,160,64,0,11,0,89,23,0,707,289,2478,1613,100,5583,20,3102,389,25,3,10,55,355,7,241,257,142,312,328,872,0,547,452,140,5,285,29,7065,14,7660,14727,16,827,303,0,0,3,526,28,5,832,111,440,550,0,"South Australia - South East",1139,372,686,5,226,914,329,0,2607,0,15,1587,0,1016,181,147,6,379,0,386,0,8234,1668,15779,0,797,4643,763,4455,7552,71,102,0,14,159,4,225,7,16,0,4,346,726,1051,214,2723,158,344,9362,15,191,27,12,19,9,7,0,391,11,4717,0,758,8,4645,6,152,363,80,6,4,1186,15,14,657,4990,17,2394,0,9,722,11,0,1676,117,0,14,20,38,58,882,4959,9952,106,223,302,904,1774,17,6,0,37,867,5,146,16,89,29,3,406,60,1958,106,9,1010,16,953,428,54,35,801,567,"407",292,852,373,15
573,147,9,6,6,426,0,0,8,0,3,0,3,5,25,22,10,5,47,0,2557,198,38,0,10,0,87,45,0,677,291,1921,1878,114,3825,18,1902,406,31,7,20,62,269,16,169,178,88,442,305,885,0,458,594,153,0,194,23,7288,10,7656,14946,10,846,285,0,0,0,562,28,3,649,93,488,581,0,"Bunbury",1149,330,870,3,290,1168,499,3,2852,3,9,1681,0,1170,280,219,0,496,0,340,0,8089,1729,15822,0,841,5636,817,5335,7731,51,145,3,5,198,3,238,15,13,3,4,281,774,1228,250,2956,232,523,11654,15,293,34,22,20,8,0,0,516,10,5754,0,807,0,5897,0,107,290,63,0,0,1178,12,19,847,6077,15,2634,0,6,699,4,0,1932,105,0,25,12,34,57,1129,6198,12267,145,285,293,1069,2026,7,5,0,26,952,7,124,7,63,16,3,409,65,2161,115,3,1145,13,1014,348,57,28,691,461,"501",193,657,346,14
420,104,0,3,0,314,0,0,11,0,6,0,0,3,13,7,4,5,30,3,2187,188,30,0,0,0,46,18,0,717,187,1052,1466,64,1945,6,892,250,5,0,14,43,92,10,50,62,36,323,190,647,0,605,434,105,4,386,9,3735,9,3835,7566,5,624,182,0,0,0,436,5,3,989,25,215,454,0,"Mandurah",475,165,439,0,156,600,369,0,1526,4,6,865,0,665,203,168,0,263,0,168,0,4045,899,7984,0,320,2777,308,2444,3933,19,117,3,14,180,7,110,5,16,5,3,165,426,689,113,1588,173,381,5604,6,207,10,9,3,0,3,0,274,10,2798,3,445,5,2805,0,54,167,32,3,3,487,4,4,431,2935,15,2244,0,3,736,7,0,1511,42,0,12,8,21,63,583,2932,5861,123,155,197,511,991,23,7,0,13,480,0,43,15,14,12,11,264,27,1052,67,7,547,4,503,177,63,7,354,617,"502",397,1017,176,7
3395,1762,29,8,5,1631,0,0,3,0,5,0,6,8,6,5,56,3,77,22,15166,759,10,0,29,0,23,16,0,7366,585,1151,7798,432,2202,12,1051,1014,16,7,59,143,51,9,30,66,30,1657,645,1680,5,4161,3429,1775,4,4019,15,5683,15,6016,11698,5,1665,640,0,0,3,1026,12,0,8182,36,149,1033,0,"Perth - Inner",995,388,1587,0,1227,2819,571,4,2897,3,56,1612,0,1282,276,289,22,168,0,397,0,6071,1620,11828,0,607,6091,604,5672,5753,8,404,6,35,748,8,53,15,59,29,4,138,305,1313,92,2935,302,585,9802,4,280,12,26,3,10,7,3,171,3,4932,20,311,39,4868,0,7,140,3,22,3,1007,4,3,1573,5061,8,15367,0,0,7457,0,3,7911,16,0,8,4,4,351,2792,4944,10007,403,1217,585,960,1812,93,6,4,7,855,4,51,46,23,0,46,1029,33,1838,441,3,969,3,864,28,347,13,64,4235,"503",4080,8312,36,7
1761,737,27,6,8,1026,9,0,20,3,11,0,3,3,27,20,51,11,78,27,9757,818,55,0,26,0,104,49,0,4103,575,2888,5653,416,6521,23,3636,995,23,8,39,118,1015,20,687,186,101,1041,796,2036,0,2596,1790,743,3,2078,31,9603,17,10446,20057,11,1975,771,3,3,3,1206,48,0,4674,87,659,1238,0,"Perth - North East",1747,636,1575,4,923,2496,1089,8,4883,3,58,2572,4,2307,486,599,30,622,0,645,3,11003,2642,21114,0,1129,6239,1112,5757,10114,65,455,0,25,801,3,336,12,39,14,3,370,999,2368,320,5012,623,1134,15425,27,514,57,19,27,9,14,3,645,16,7482,10,1028,19,7944,4,106,382,44,14,11,1776,22,26,1547,7871,28,9916,3,3,4157,5,8,5757,330,3,39,26,54,355,2470,8357,16219,463,919,588,1484,2894,61,3,0,21,1405,5,135,38,75,12,19,1019,63,3029,426,4,1546,14,1483,448,345,34,878,2652,"504",2105,4753,425,18
4593,1981,79,20,10,2610,8,0,19,3,6,0,8,6,29,12,113,8,114,41,25469,2005,49,0,79,0,106,52,0,11154,1324,5197,14315,857,9428,29,4227,2181,44,17,71,185,316,14,158,365,185,2661,1661,4307,8,7125,4672,2015,15,6208,60,22560,32,23649,46213,30,4236,1636,0,0,4,2599,98,8,13330,178,632,2643,0,"Perth - North West",3563,1432,3414,5,2103,5518,2360,24,10276,14,119,5292,8,4980,1137,1225,43,1411,3,1449,4,24304,5377,47467,0,2158,11928,2134,11102,23162,57,1132,11,59,1978,19,312,41,107,53,13,661,2065,5062,317,10442,1246,2416,35435,41,1163,102,56,62,18,13,7,1435,13,17377,28,2105,52,18054,3,116,675,58,28,10,3610,34,61,3370,17824,44,25770,10,11,11280,9,17,14490,155,7,26,15,55,857,5455,18479,36306,1147,2079,1336,3434,6612,67,22,9,32,3175,14,241,40,114,15,33,2215,124,6781,870,11,3520,32,3260,470,842,59,892,7193,"505",6265,13453,421,26
5989,2947,66,14,12,3042,9,3,39,4,31,3,5,6,50,31,109,21,156,43,27215,1684,117,0,67,0,201,76,0,12722,1572,4782,14490,1141,10034,30,5251,2714,50,15,86,243,841,25,564,255,131,3085,1916,4473,0,7631,6064,2977,3,7108,46,18663,16,19868,38529,28,4391,1876,0,0,6,2512,71,0,14738,122,1016,2563,0,"Perth - South East",3450,1357,2868,9,1914,4782,2690,9,10814,3,115,5637,8,5182,1231,1464,48,1182,4,1374,3,20667,5781,40146,0,2121,12619,2088,11244,19477,111,928,7,42,1655,12,495,39,86,44,8,717,1894,5275,519,11059,1491,2766,29395,35,1280,78,64,45,27,28,8,1214,46,14314,30,1956,56,15078,6,203,745,93,27,19,3496,32,37,2825,14929,35,27542,3,3,12848,9,6,14694,276,4,71,31,72,738,4717,15688,30619,947,1897,1604,2960,5760,101,13,3,31,2800,13,211,68,114,25,32,2758,98,6001,1155,9,3074,21,2925,669,725,36,1364,7731,"506",7173,14904,694,15
3593,1428,41,22,16,2165,6,3,27,3,24,0,9,13,35,22,66,12,127,22,18473,1330,86,0,45,0,152,65,0,7657,792,3880,10820,492,7742,30,3866,1278,52,18,85,212,673,19,513,262,137,2207,1045,2862,3,5218,3671,1457,8,4106,47,16713,28,17623,34342,18,2769,1004,0,0,6,1762,58,6,9327,124,690,1820,0,"Perth - South West",2379,902,2676,11,1565,4243,1666,12,6916,12,70,3619,4,3296,753,915,22,958,0,923,3,18281,3722,35610,3,1515,11133,1471,10053,17336,83,756,5,40,1310,14,353,40,66,26,4,579,1537,3389,333,7112,948,1718,25557,28,773,60,61,33,27,14,6,986,22,12757,16,1576,32,12796,3,157,591,75,14,9,2437,23,33,2638,13195,38,18753,8,5,7774,10,12,10982,164,4,43,31,70,562,4180,13267,26464,770,1547,818,2456,4887,88,10,0,43,2428,13,223,47,115,30,40,1313,109,5082,504,12,2550,12,2530,514,552,39,1008,5283,"507",4160,9443,493,26
235,65,3,11,6,170,4,0,14,3,11,0,4,8,12,5,4,8,30,3,1401,119,49,0,0,0,71,20,0,427,139,1427,973,59,3617,5,2189,202,8,0,12,43,578,4,394,161,86,186,264,653,0,245,258,69,0,143,15,4985,6,5091,10075,8,620,248,0,0,0,372,19,0,394,71,554,397,0,"Western Australia - Wheat Belt",900,261,489,3,177,662,336,0,1995,0,5,1183,0,807,148,189,3,289,0,267,0,5593,1236,11067,0,665,5204,640,4689,5473,65,78,0,10,116,8,289,13,13,3,8,241,530,841,263,2076,197,356,7007,11,161,17,14,5,0,4,3,305,9,3401,0,556,0,3606,0,136,252,68,0,3,932,12,6,475,3736,16,1452,0,6,444,10,0,1016,185,0,14,13,24,42,648,3958,7687,82,176,155,766,1401,14,3,0,25,639,5,124,6,57,19,7,220,62,1561,63,3,849,13,715,413,36,28,830,255,"509",149,409,415,11
193,60,4,6,3,126,8,4,27,11,12,3,0,5,67,37,11,32,92,3,1228,69,118,0,4,0,249,128,0,451,54,603,777,41,1388,39,782,93,44,5,33,122,2332,27,1325,90,57,151,161,451,0,71,226,76,0,28,11,2545,8,2664,5213,0,339,116,3,3,0,221,15,0,94,35,1812,282,0,"Western Australia - Outback (North)",860,353,567,0,360,927,69,0,1297,0,12,732,0,563,35,35,9,126,0,405,0,4202,855,8248,0,567,7088,506,4000,4043,209,49,0,7,65,0,917,22,15,6,0,131,249,700,895,1552,65,110,2470,18,48,25,34,8,8,4,0,167,11,1140,0,321,0,1328,0,436,162,229,0,7,975,11,7,524,2063,61,1365,0,3,490,5,4,873,1007,0,34,40,103,17,876,2276,4339,61,350,65,447,837,38,3,4,114,388,59,58,20,33,61,14,123,23,1286,57,0,688,8,598,1489,12,15,2946,94,"510",37,129,1461,6
305,128,3,3,4,177,3,0,13,0,15,0,3,3,41,13,5,26,49,3,1556,139,72,0,3,0,114,40,0,552,135,1177,1005,46,2384,20,1203,185,28,4,23,73,1407,17,764,130,64,189,179,501,0,188,325,137,0,149,12,4261,5,4367,8628,10,455,154,0,0,3,296,18,0,339,66,1092,322,0,"Western Australia - Outback (South)",914,268,560,5,250,812,284,0,1898,0,5,1208,0,689,169,116,3,244,0,283,0,5326,1292,10466,0,674,5738,647,4562,5145,117,96,0,4,131,0,537,11,5,3,0,256,502,740,557,2029,130,312,5986,7,176,20,20,10,9,5,3,262,10,2947,0,543,0,3035,0,270,276,156,0,4,952,12,8,537,3566,20,1641,0,3,580,6,0,1054,644,0,28,21,44,41,776,3618,7183,100,239,150,584,1156,18,4,4,37,571,7,107,14,45,24,9,198,54,1441,49,4,742,8,700,894,33,18,1712,202,"511",157,359,817,9
2525,1223,19,15,7,1298,4,3,25,4,18,0,9,7,56,35,31,20,139,16,10749,561,114,0,18,0,221,107,0,4688,441,2219,6058,279,4447,54,2230,718,67,14,88,225,416,45,233,255,124,1331,513,1344,0,2532,2580,1253,8,2245,67,8669,34,9192,17861,34,1269,481,0,0,5,787,37,3,4781,122,812,835,0,"Hobart",1534,605,1946,3,1000,2948,1130,32,4279,12,34,2282,21,2001,559,570,16,532,0,634,3,10039,2428,19542,0,952,4996,928,5100,9503,49,320,4,26,545,16,442,24,51,28,9,334,863,2136,372,4569,620,1254,12337,23,628,36,44,15,21,15,9,577,55,6058,10,935,18,6275,8,105,354,54,10,10,1589,18,14,1887,6499,40,11028,3,16,4801,21,3,6223,182,0,95,30,66,233,2867,6801,13303,333,980,467,794,1589,103,15,7,48,793,26,153,59,81,23,43,749,69,1705,279,5,858,5,848,723,227,18,1431,2596,"601",2306,4905,707,13
1018,497,10,12,6,528,10,0,20,0,15,0,4,0,33,16,20,15,80,9,4660,231,80,0,12,0,138,56,0,2003,301,1710,2661,196,3278,27,1571,499,35,12,57,135,224,26,117,155,83,543,297,735,0,1116,1054,507,3,1046,23,5303,11,5564,10873,15,687,271,0,0,3,418,25,0,2162,68,425,442,0,"Launceston and North East",955,329,892,3,380,1271,835,11,2884,5,20,1615,3,1275,412,423,9,313,0,340,0,6043,1705,11798,0,650,3877,622,3920,5755,26,143,0,10,221,0,206,17,16,6,0,264,577,1345,225,3048,459,900,7562,14,448,26,29,17,10,9,5,330,25,3721,3,610,10,3844,0,61,279,30,5,3,987,14,15,868,3991,21,4813,0,0,2064,4,0,2749,108,0,52,19,41,91,1237,4088,8082,144,371,323,535,1008,60,3,0,33,472,6,93,33,46,21,26,522,52,1088,203,5,579,9,505,396,81,20,773,1155,"602",1082,2235,384,6
115,38,3,3,3,78,3,0,4,0,3,0,3,0,11,7,3,3,26,3,555,23,29,0,3,0,73,42,0,185,39,477,375,18,970,8,493,56,8,4,9,36,125,23,65,57,31,88,81,208,0,89,129,38,0,66,6,1196,0,1297,2495,3,195,73,0,0,0,124,6,0,152,30,253,131,0,"South East",218,76,199,3,78,273,182,0,568,0,3,308,0,254,91,89,3,67,0,83,0,1520,347,2948,0,146,1138,142,1094,1421,15,10,0,4,18,4,132,6,7,0,4,42,107,298,119,640,116,228,1622,3,108,5,6,3,0,3,0,74,21,754,0,120,3,870,0,30,47,16,3,3,229,3,3,187,899,12,598,0,0,196,0,0,401,62,0,45,3,14,10,260,1014,1911,14,72,41,86,190,15,0,0,12,99,3,31,8,11,5,4,63,19,225,19,0,110,3,118,197,6,3,393,98,"603",68,168,200,3
317,101,8,7,3,214,14,0,40,0,24,0,5,3,59,37,7,25,93,0,1641,124,147,0,8,0,252,103,0,534,172,1608,1111,67,2973,37,1364,247,47,9,25,120,301,39,153,144,74,240,166,506,0,313,346,104,3,161,22,3887,3,4102,7989,14,440,137,0,0,0,301,16,3,475,73,761,342,0,"West and North West",671,263,544,3,242,783,709,4,2082,0,7,1139,5,948,378,328,0,274,0,283,0,4863,1298,9458,0,445,2657,405,2628,4600,44,77,0,8,115,0,396,24,8,3,0,178,451,1051,358,2354,370,810,5287,3,440,12,29,7,3,11,4,312,54,2623,0,513,3,2668,3,88,207,50,3,5,730,3,7,500,3032,37,1775,0,3,562,4,0,1216,151,0,99,25,60,37,734,3106,6137,86,232,204,333,614,40,4,0,54,281,16,87,32,37,34,11,286,49,719,82,7,386,8,326,693,33,9,1322,340,"604",171,514,635,8
1439,575,21,14,9,859,0,3,6,5,5,3,10,7,42,22,32,16,208,14,5964,552,69,0,21,0,144,69,0,2302,133,988,3663,97,2240,83,1260,232,105,24,91,300,1451,12,1027,132,75,912,409,1171,0,759,1514,601,0,663,16,4517,5,4834,9351,13,1061,366,0,0,0,698,26,0,1427,54,1277,764,0,"Darwin",1082,408,1804,8,889,2691,170,3,1906,0,32,1079,3,828,77,91,14,216,3,436,3,5769,1160,11171,0,724,7543,678,5628,5399,119,314,0,37,498,4,667,44,41,10,3,175,391,908,608,2067,104,193,6510,14,90,31,70,19,25,47,23,244,9,3240,4,435,18,3267,0,259,196,139,15,31,1161,14,15,1707,3912,67,6309,6,3,2404,4,7,3907,421,0,23,33,95,209,2573,3995,7912,347,864,138,873,1728,77,13,4,69,855,27,117,54,62,44,24,242,58,2009,103,12,1021,6,991,858,182,20,1683,824,"701",697,1521,820,14
223,78,5,6,10,146,23,3,72,6,53,0,0,0,32,16,9,15,139,3,1504,124,198,4,4,7,297,93,3,466,21,406,1040,19,962,83,560,33,108,22,63,195,5547,23,3016,75,34,179,197,460,0,91,276,97,0,26,8,1447,9,1530,2982,3,276,102,0,0,3,178,5,0,113,38,3467,262,0,"Northern Territory - Outback",412,141,807,3,361,1165,44,0,628,0,15,358,0,275,12,33,8,76,3,182,3,4710,562,9124,0,377,3776,264,3346,4416,542,80,0,4,108,0,1784,32,17,8,0,57,136,376,1687,941,52,86,1774,9,32,16,50,12,26,16,4,94,21,847,0,170,0,925,0,1079,77,535,0,7,559,0,4,717,2555,85,1715,0,3,533,3,3,1185,2535,3,43,95,174,36,1052,2736,5285,86,330,67,306,606,21,15,7,147,292,38,44,16,27,107,6,106,24,1691,39,4,851,7,845,3146,26,8,6073,102,"702",30,138,2923,4
6403,3334,51,22,19,3068,4,0,25,0,17,0,12,9,82,38,84,41,241,40,33698,1737,126,0,52,3,221,93,3,15769,756,2639,17930,581,5185,96,2544,1341,154,55,173,411,280,19,188,200,96,3121,1214,3163,0,8872,6496,3376,4,8045,35,15357,17,16349,31703,16,3086,1185,3,0,4,1897,42,3,16918,102,642,1948,0,"Australian Capital Territory",3507,1400,5091,13,3683,8774,1156,3,7897,4,93,4176,0,3723,580,575,43,1133,0,1438,6,16936,4319,32804,0,2157,8987,2102,8565,15869,85,952,11,65,1698,18,321,42,120,53,12,718,1853,3831,321,8156,597,1205,23412,24,606,51,73,29,32,41,20,1182,25,11522,30,1943,64,11888,0,181,760,104,29,21,3589,22,25,4979,11915,42,34230,4,7,15997,7,5,18230,90,3,42,19,56,765,8595,12269,24183,973,3609,777,2983,5682,143,31,12,72,2695,28,128,84,62,43,60,1370,65,5901,590,18,3113,24,2791,487,744,35,899,8992,"801",8132,17126,412,10
6,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,35,0,0,0,0,0,4,3,0,12,4,52,18,3,348,0,302,6,3,0,0,3,49,0,22,8,7,7,11,25,0,3,4,3,0,0,3,158,0,163,320,0,22,6,0,0,0,10,0,0,5,0,20,10,0,"Other Territories",15,9,11,0,8,25,0,0,29,0,0,13,0,14,0,0,0,6,0,9,0,177,14,344,0,8,218,11,176,163,3,0,0,0,0,0,7,0,0,0,0,0,4,19,8,36,0,0,222,0,0,0,0,0,0,0,0,8,0,113,0,10,0,105,0,5,0,3,0,0,17,0,0,16,130,0,33,0,0,13,0,0,22,27,0,0,0,0,0,21,118,247,0,9,4,36,66,0,0,0,0,30,0,9,0,3,0,0,6,7,79,3,0,44,0,31,12,0,0,21,4,"901",0,5,8,0
