oth_crp_nec_vol_app_ml, num_agri_bsns_irrigating_num, wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml, cotton_tot_area_ha_e, nurseries_cut_floers_cultivated_turf_vol_app_ml, wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml, vegetables_human_consumption_vol_app_ml, rice_area_wtrd_ha, tot_area_wtrd_ha, vegetables_human_consumption_area_wtrd_ha, tot_vol_wtr_all_srcs_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml, nurseries_cut_floers_cultivated_turf_tot_area_ha, recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml, oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml, irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud, rice_tot_area_ha, fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha, tot_vol_app_used_incl_oth_agri_wtr_ml, tot_app_rt_ml_ha, oth_broadacre_crp_app_rt_ml_ha, wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml, town_reticulated_mns_supply_tot_vol_used_ml, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml, cotton_vol_app_ml, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml, cotton_area_wtrd_ha, pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d, grapevines_tot_area_ha, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud, fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha, grapevines_area_wtrd_ha, sugar_cane_app_rt_ml_ha, oth_crp_nec_area_wtrd_ha, oth_crp_nec_app_rt_ml_ha, oth_broadacre_crp_tot_area_ha, nurseries_cut_floers_cultivated_turf_area_wtrd_ha, sa4_name16, sugar_cane_tot_area_ha_f, cotton_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha, grapevines_app_rt_ml_ha, rice_vol_app_ml, oth_broadacre_crp_area_wtrd_ha, sugar_cane_vol_app_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha, sugar_cane_area_wtrd_ha, fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d, tot_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha, grapevines_vol_app_ml, pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha, nurseries_cut_floers_cultivated_turf_app_rt_ml_ha, rice_app_rt_ml_ha, oth_broadacre_crp_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c, num_agri_bsns_num, vegetables_human_consumption_app_rt_ml_ha, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud, groundwtr_eg_bores_springs_wells_tot_vol_used_ml, pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d, wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml, pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha, oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha, sa4_code16, pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c, fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha, area_holding_tot_area_ha_a, vegetables_human_consumption_tot_area_ha, oth_agri_wtr_use_vol_used_ml_b, pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c, wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml, oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha
null,1679.55,7845.26,null,941.21,27794.99,9901.7,null,212819.84,2181.14,696421.63,438220.69,222.08,10841.48,null,2.558498243E7,null,8887.45,696421.63,3.17,1.29,591891.07,null,202651.02,null,null,null,3.02,1766.46,1.462781038E7,9616.53,1704.7,null,null,0.83,36890.65,172.84,"Shepparton",null,null,130356.6,1.82,null,4966.0,null,3.36,336202.9,null,42646.41,58191.49,674003.26,2.16,3102.01,32292.76,5.45,null,6393.39,91470.41,2237.0,4.54,null,58036.54,19240.58,27766.09,113524.05,22420.23,10395.08,"216",2.69,4.8,636233.82,3223.72,22418.36,34056.58,null,116378.52
null,323.32,13213.04,null,41.54,2175.66,null,null,13590.87,null,111610.6,28214.3,49.88,null,null,542709.7,null,25.86,111610.6,2.53,null,null,2378.81,null,null,null,null,null,117.64,null,27.33,117.64,null,372.46,0.77,37961.53,15.36,"Warrnambool and South West",null,null,7460.43,0.58,null,null,null,3.78,1278335.18,null,43.86,2802.39,34431.62,0.32,68.81,65459.87,2.71,null,null,null,3852.69,2.16,null,91287.12,null,1648.89,120692.59,null,null,"217",4.81,1.7,1541033.58,null,77178.97,null,526.77,77254.95
null,21.44,756.9,null,588.43,2.44,144.32,null,120.47,39.6,1084.1,null,98.95,null,null,null,null,null,1084.1,6.08,null,null,249.29,null,null,null,null,null,null,null,null,null,null,null,null,null,80.86,"Brisbane - East",null,null,null,null,null,null,null,null,35227.12,null,null,null,732.75,null,null,null,7.28,null,null,null,41.91,3.64,null,75.47,null,2.44,26.0,null,null,"301",null,null,35953.95,118.74,351.35,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"302",null,null,null,null,null,null,null,null
null,4.36,6.32,null,16.56,4.21,236.66,null,27.3,18.93,263.79,null,null,null,null,null,null,null,263.79,9.28,null,null,9.85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - South",null,null,null,null,null,null,null,null,14.2,null,null,null,253.21,null,null,null,1.98,null,null,null,null,12.5,null,243.41,null,null,null,null,null,"303",null,null,78.93,null,10.58,null,4.21,null
null,3.19,null,null,7.02,null,null,null,null,null,null,null,1.4,null,null,null,null,null,null,3.78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.4,"Brisbane - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.0,null,null,null,3.19,null,null,null,null,null,null,null,null,"304",null,3.58,null,null,null,null,null,null
2284.75,394.42,2194.61,null,null,32188.54,4830.89,null,20758.72,824.1,112413.39,8839.15,null,null,null,3573015.68,null,9315.27,112413.39,5.17,2.42,46245.24,null,6210.79,null,null,null,5.0,27.77,500685.19,15938.97,null,5.13,559.14,4.09,1444.41,null,"Cairns",87128.65,null,2258.54,null,null,324.1,31184.77,3.91,479372.95,6074.33,52213.18,257.14,107420.53,5.55,null,239.65,7.38,6.36,784.74,1571.2,1361.69,5.86,null,30630.25,51.43,9439.29,2094.01,null,682.69,"306",3.61,5.61,640180.92,1124.87,4992.86,435.37,22749.24,2374.87
null,717.23,324665.32,175935.75,null,421904.25,8551.15,null,163907.77,3405.8,945747.2,null,287.74,14892.97,363.15,6880164.41,null,2613.4,945747.2,5.45,null,64908.19,null,22870.22,772858.19,1585.71,107030.16,5.11,307.85,3510074.0,2427.53,182.4,null,null,null,364239.45,null,"Darling Downs - Maranoa",null,7.22,null,4.76,null,null,null,1.99,1.120436989E7,null,6349.42,9975.69,893306.07,1.95,868.29,28423.51,null,null,null,10758.78,4656.09,2.51,null,118601.6,1952.32,380524.56,27171.88,34676.14,17808.56,"307",2.62,2.43,1.402218019E7,5866.02,52441.13,4102.98,41379.69,871860.6
null,285.77,73881.88,24317.85,758.48,75020.27,1319.09,null,42217.16,202.98,238393.13,13315.18,null,6735.94,null,4198327.17,null,1131.22,238393.13,4.86,2.17,61967.61,null,17709.08,131289.59,3882.85,18341.15,5.55,983.6,1673660.25,1968.09,335.8,null,null,3.9,99537.69,128.19,"Central Queensland",null,7.16,3455.74,8.8,null,9634.21,null,3.85,8633497.01,null,2729.97,5294.36,205048.2,2.55,2953.41,2517.99,5.92,null,20917.89,17494.3,2412.11,6.5,4689206.82,20722.0,954.52,67498.07,17484.97,8556.7,3360.27,"308",3.83,2.41,9647936.66,null,33344.93,4565.49,7522.2,138239.31
null,53.42,468.58,null,500.33,334.4,14.33,null,212.77,6.55,895.39,null,null,null,null,null,null,null,895.39,3.56,null,8.45,9.2,null,null,null,null,null,null,null,114.49,null,null,null,null,null,166.01,"Gold Coast",3347.4,null,null,null,null,null,null,null,82390.36,null,null,null,757.97,null,null,null,3.01,null,null,null,160.05,2.19,null,null,null,null,null,null,null,"309",null,6.05,92414.29,null,null,null,296.12,null
null,307.47,4062.78,null,1026.8,9387.2,13914.36,null,12167.45,5335.37,32350.6,null,286.27,27.87,null,803203.05,null,null,32350.6,2.4,1.21,1523.66,38.86,687.84,null,109.85,null,2.01,null,null,null,null,null,null,null,null,198.73,"Ipswich",null,null,2449.87,null,null,null,null,1.83,322639.09,null,1551.74,664.94,29203.08,1.63,null,null,5.17,null,null,4991.07,684.92,2.61,58925.93,17310.23,330.3,8136.98,4991.1,1886.2,1155.63,"310",2.59,null,357583.06,7232.84,3147.52,1927.67,null,1890.29
null,138.4,1282.18,null,768.2,7551.49,49.05,null,null,null,14080.44,7107.0,294.38,null,null,185494.03,null,null,14080.44,null,1.37,null,132.28,null,null,null,null,0.9,null,null,null,null,null,null,null,null,159.17,"Logan - Beaudesert",null,null,null,0.91,null,null,null,null,162626.41,null,null,null,11803.16,0.54,null,null,4.83,null,null,null,352.5,null,null,1516.41,null,3271.25,1732.38,null,null,"311",2.26,null,165794.32,null,2277.27,null,null,null
null,735.77,42023.55,1480.16,334.15,21962.63,8113.55,null,82819.91,3208.37,142908.77,4400.84,122.91,5231.16,null,5297405.22,null,495.17,142908.77,1.48,null,32998.99,66.36,4804.64,10442.44,4512.71,715.76,null,null,585535.55,415.58,null,1.28,null,null,53176.32,122.91,"Mackay - Isaac - Whitsunday",146671.07,14.59,2744.38,null,null,null,96089.71,1.6,7675224.56,75177.48,763.61,null,122521.28,1.5,null,null,2.72,2.94,null,null,1963.67,2.53,318311.83,40626.07,null,17848.23,1599.43,null,null,"312",8.04,1.54,8299420.74,3671.3,20387.48,null,4114.4,78260.13
null,112.34,4606.04,null,847.83,null,null,null,3219.98,null,9657.62,null,276.8,30.0,null,148999.34,null,1013.25,9657.62,2.29,null,1376.47,null,null,null,null,null,null,null,null,1650.01,null,null,null,null,null,243.81,"Moreton Bay - North",null,null,null,null,null,null,null,1.08,117718.96,null,4351.11,null,7362.16,null,null,null,3.48,null,null,null,281.98,7.94,null,637.88,null,null,null,null,null,"313",2.0,4.29,143267.94,null,2295.46,null,246.26,null
null,4.18,1.75,null,6.77,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.1,null,null,1.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Moreton Bay - South",null,null,null,null,null,null,null,null,null,null,null,null,6.77,null,null,null,0.1,null,null,null,null,null,null,null,null,null,null,null,null,"314",null,null,null,null,null,null,null,null
null,188.7,25538.65,null,null,23932.02,1754.52,null,11079.36,479.05,149867.09,null,null,3640.07,null,2217153.17,null,4283.87,149867.09,6.49,2.84,34680.72,null,3767.99,null,335.36,null,null,80.27,316737.9,4242.83,10.27,7.59,null,null,1563.15,null,"Queensland - Outback",4250.0,null,null,10.6,null,null,26793.5,3.97,8.959525661E7,3530.57,17182.93,null,71865.59,null,108.87,null,null,null,null,23507.2,1805.41,3.66,null,62075.23,null,8573.47,4845.72,null,null,"315",10.76,4.01,9.27200032E7,null,78001.5,2184.0,15358.54,8965.59
null,203.56,9587.4,100.0,2018.52,null,234.58,null,1791.9,null,12834.81,null,495.34,156.34,null,null,null,1038.94,12834.81,3.27,null,0.51,53.22,null,741.78,null,100.0,null,null,null,2754.04,null,null,null,null,null,298.18,"Sunshine Coast",424.29,7.42,null,null,null,null,null,2.0,null,null,2444.39,null,5854.41,null,null,null,6.77,null,null,null,439.16,null,null,1479.87,null,null,null,null,null,"316",null,2.35,33935.91,151.73,null,null,null,null
null,80.79,2813.44,null,null,2611.26,21572.59,null,13874.85,5467.41,28100.54,48.92,105.38,97.0,null,234893.58,null,135.71,28100.54,1.96,null,114.46,null,null,null,null,null,1.03,null,null,132.85,null,null,null,null,null,null,"Toowoomba",null,3.19,159.88,null,null,null,null,0.31,27661.04,null,945.8,null,27132.48,null,null,null,null,null,null,955.63,204.33,3.95,null,22455.14,null,2065.03,1747.06,null,null,"317",6.55,6.97,51367.83,6969.09,968.06,145.87,546.24,4125.66
null,614.51,31292.72,null,null,103358.52,13537.2,4.0,83723.52,4190.51,662531.11,1348.34,227.8,18229.06,null,1.612852795E7,4.0,1368.24,662531.11,7.69,1.6,271933.4,35.71,35913.09,null,null,null,null,26.09,1059663.36,1675.59,26.09,8.21,null,null,1016.04,226.22,"Townsville",128522.29,5.45,359.54,5.01,60.0,1138.33,619672.06,3.75,8433816.74,75440.27,2296.15,null,643842.65,2.36,130.73,null,null,15.0,1815.71,null,1348.74,3.23,null,237681.7,null,71912.9,2059.49,905.49,383.96,"318",2.72,1.68,8721384.69,4568.53,18688.46,null,null,1314.1
174.2,1002.6,50536.74,634.69,1323.19,64889.27,12570.95,null,81784.77,4425.11,313044.56,13537.81,319.2,3770.9,0.01,1.905156744E7,null,13603.41,313044.56,3.61,2.33,134677.09,null,26876.8,1760.61,3310.38,364.07,0.86,326.39,1193568.03,16227.73,294.38,3.84,null,null,8545.37,208.67,"Wide Bay",60974.72,4.84,4304.15,3.14,null,2253.97,190843.25,3.15,2576924.31,49762.86,51952.47,1358.62,295357.83,1.93,924.04,3750.51,6.34,null,5260.41,12115.94,2763.44,2.84,976415.12,57710.24,null,59829.28,8045.8,3536.35,1828.68,"319",3.93,3.82,3021294.32,5037.34,17686.73,3084.4,5059.98,19531.79
null,279.23,3364.41,null,null,403.28,769.77,null,5200.12,129.47,14530.29,4072.21,122.3,62.97,null,374316.84,null,1931.01,14530.29,2.59,null,467.84,72.38,167.41,null,null,null,null,2410.76,null,1950.52,2182.76,null,null,null,66.3,null,"Adelaide - Central and Hills",null,null,612.48,1.12,null,null,null,6.65,33621.83,null,5188.3,null,13482.05,null,2442.6,null,null,null,null,592.91,434.0,5.95,null,10159.41,null,392.08,3709.49,null,null,"401",2.86,2.69,45380.13,150.19,1048.24,207.11,11.2,113.88
null,258.35,1328.57,null,null,null,8164.26,null,3057.58,1592.58,14619.25,null,68.36,7191.64,null,1594360.63,null,831.38,14619.25,4.72,null,null,417.95,614.79,null,null,null,null,633.92,208278.38,831.38,466.42,null,null,null,1405.36,null,"Adelaide - North",null,null,null,1.9,null,null,null,null,3543.64,null,4905.2,null,14440.12,null,885.62,null,null,null,null,null,329.02,5.13,null,5003.76,null,null,1021.2,null,null,"402",1.04,5.9,18081.79,1621.48,179.13,null,8.59,5338.79
null,206.04,350.0,null,null,null,2.5,null,5766.21,5.2,6932.07,null,13.49,2199.24,null,2511773.07,null,122.33,6932.07,1.17,null,null,493.88,null,null,null,null,null,6022.4,49479.4,168.3,5630.9,null,null,null,null,null,"Adelaide - South",null,null,null,1.14,null,null,null,null,5755.43,null,303.84,null,6733.06,null,6392.8,null,null,null,null,null,235.1,0.48,null,3691.89,null,null,null,null,null,"403",null,null,14812.61,5.2,199.01,null,null,null
null,484.73,6567.15,null,null,2484.92,1866.05,null,38417.63,342.41,33948.64,null,null,1671.3,null,6130145.09,null,255.42,33948.64,0.44,null,4457.11,10047.43,null,null,1107.44,null,null,14369.05,574418.18,306.93,13421.21,null,null,null,365796.57,null,"Barossa - Yorke - Mid North",null,null,null,0.91,null,null,null,null,1416956.2,null,243.65,null,17087.47,null,12172.66,2411.11,null,null,null,null,2806.52,5.45,1660131.45,8720.74,null,2148.08,118811.04,null,null,"405",0.79,0.95,3428882.06,342.71,16861.17,null,336.84,1130080.71
null,32.26,7250.63,null,null,539.08,null,null,null,30.38,21113.28,null,null,null,null,null,null,null,21113.28,null,null,null,7549.05,null,null,null,null,null,null,null,null,null,null,null,null,208094.45,null,"South Australia - Outback",null,null,null,null,null,null,null,null,3.871263272E7,null,null,null,null,null,null,null,null,null,null,null,1320.57,null,null,4432.45,null,341.2,15974.12,null,null,"406",null,null,4.196883423E7,30.79,15783.57,null,197.87,1326605.88
25994.57,1777.4,5038.81,null,2714.01,171915.3,54099.46,null,110713.47,9954.49,519371.56,95595.22,553.96,1045.34,null,1.129536117E7,null,13434.47,519371.56,4.4,1.43,97173.97,6492.18,53685.82,null,4218.21,null,2.3,37262.08,5767174.76,13946.46,34805.8,null,5907.4,4.4,164095.29,532.02,"South Australia - South East",null,null,26208.5,4.2,null,null,null,3.65,2344440.81,null,98440.22,2695.78,486937.47,1.57,146233.72,10515.93,5.1,null,null,56016.89,4536.13,5.43,5485406.39,237666.91,1171.88,145585.45,141490.72,5054.75,null,"407",3.63,7.33,4244461.79,10254.49,32434.08,15424.33,26329.85,819983.33
270.98,712.45,34403.88,null,881.04,3302.8,19456.67,null,23201.56,3504.87,107734.0,43506.61,286.3,null,null,2842797.25,null,3946.02,107734.0,4.25,null,40737.8,null,6388.83,null,null,null,8.83,7943.37,399413.81,4080.9,7050.61,null,47.3,5.73,null,285.09,"Bunbury",null,null,6666.68,1.38,null,null,null,6.53,393187.67,null,19328.98,817.11,98631.97,6.8,9714.84,12683.72,3.09,null,null,4172.53,1590.43,5.55,null,29200.94,92.54,974.68,29793.02,483.21,71.06,"501",2.71,4.9,503853.66,4700.47,9102.04,1537.39,2328.12,18035.8
null,null,null,null,null,null,null,null,64.93,null,763.39,null,null,null,null,null,null,null,763.39,null,null,null,null,null,null,null,null,null,40.0,null,null,40.0,null,null,null,null,null,"Mandurah",null,null,null,0.1,null,null,null,4.0,27630.63,null,null,null,null,null,4.0,null,null,null,null,null,121.86,null,null,577.89,null,null,2121.06,null,null,"502",null,null,32964.26,null,659.66,null,null,null
null,82.7,444.88,null,739.79,null,40.38,null,756.21,4.44,3561.52,null,77.49,null,null,null,null,85.15,3561.52,4.31,null,null,null,null,null,null,null,12.42,285.44,null,91.54,253.34,null,null,null,null,77.49,"Perth - North East",null,null,295.78,3.52,null,null,null,1.41,null,null,669.41,496.74,3255.59,null,891.22,100.0,9.55,null,null,null,117.02,9.09,null,3041.2,40.0,null,80.41,null,null,"504",null,7.86,null,5.34,305.93,null,null,null
null,99.58,4.59,null,4522.31,null,4646.51,null,859.16,453.43,10750.12,null,321.81,null,null,null,null,79.28,10750.12,12.18,null,null,null,null,null,null,null,null,null,null,79.28,null,null,null,null,null,318.93,"Perth - North West",null,null,null,3.35,null,null,null,null,null,null,1274.71,null,10468.68,null,null,null,14.18,null,null,null,118.38,10.25,null,10745.51,null,null,null,null,null,"505",null,16.08,3842.76,465.56,281.45,null,null,null
null,141.0,null,null,1845.15,null,932.66,null,1089.48,141.23,6889.7,294.1,209.04,195.31,null,null,null,596.7,6889.7,4.83,null,760.0,null,null,null,null,null,null,null,null,617.87,null,null,null,null,null,208.69,"Perth - South East",null,null,108.35,0.15,null,null,null,2.71,14551.42,null,2187.25,null,5264.23,null,null,null,8.84,null,null,null,249.49,6.6,null,4884.22,null,null,2325.73,null,null,"506",null,3.67,19137.55,144.95,1625.47,null,null,null
null,55.8,null,null,196.0,null,null,null,100.95,56.71,1333.05,null,36.24,null,null,null,null,null,1333.05,6.55,null,null,42.0,null,null,null,null,null,null,null,null,null,null,null,null,null,36.24,"Perth - South West",null,null,null,3.85,null,null,null,null,null,null,null,null,661.73,null,null,null,5.41,null,null,null,65.86,5.72,null,1291.05,null,null,null,null,null,"507",null,23.67,1468.99,57.46,null,null,null,null
2.02,273.93,36090.29,null,3956.75,3760.89,20688.65,null,79153.77,1971.2,113385.35,4003.86,620.26,188.4,0.91,739674.53,null,3941.45,113385.35,0.82,0.14,5320.83,10948.39,null,null,null,null,null,1998.84,null,4104.53,1811.23,null,4.04,0.5,1078701.23,608.19,"Western Australia - Wheat Belt",null,null,19526.54,0.96,null,13997.21,null,null,3970452.24,null,19229.36,null,64791.87,0.32,1741.47,14186.43,6.51,null,1913.62,1255.29,4887.95,10.5,null,57075.63,null,2310.61,156945.44,12000.84,37222.86,"509",17.67,4.88,1.22787025E7,2213.93,48593.49,71.06,1450.28,4749840.08
2038.82,70.7,1647.74,null,398.16,8172.05,8627.83,null,6982.57,1116.93,90142.92,140.05,49.33,190.0,50.6,1507409.45,null,240.95,90142.92,10.68,12.48,62882.88,null,null,null,null,null,13.56,null,null,243.32,null,null,183.49,11.11,1501.6,49.33,"Western Australia - Outback (North)",null,null,null,null,null,2096.94,null,2.3,2.851744124E7,null,2696.63,null,74554.02,11.52,null,1578.34,8.07,null,26166.87,5398.08,172.64,7.72,null,17199.65,null,5532.9,2619.03,25479.57,2210.84,"510",7.13,11.19,2.923740416E7,1209.69,15588.9,757.1,2639.15,3765.93
null,137.75,7347.5,null,409.99,1325.81,2405.0,null,37579.89,628.57,29279.0,894.87,42.87,null,null,1141332.56,null,356.97,29279.0,0.46,0.47,3356.16,1498.4,null,null,null,null,null,143.99,null,1233.86,140.35,null,null,null,724225.78,29.37,"Western Australia - Outback (South)",null,null,7314.4,7.24,null,5970.38,null,0.12,3.686808476E7,null,4037.19,null,17226.38,0.25,1016.17,863.75,13.96,null,2793.14,null,1549.54,3.83,null,15751.13,null,null,14673.21,5670.03,23139.85,"511",null,11.31,4.168152521E7,871.09,12052.62,null,null,2019157.49
null,75.2,2002.84,null,280.36,null,1210.33,null,2159.93,355.28,5419.95,1895.2,null,1467.42,null,null,null,179.35,5419.95,2.39,null,1327.89,null,385.61,null,null,null,3.22,253.08,124381.72,181.85,174.18,null,37.56,5.13,null,48.87,"Hobart",null,null,968.99,1.56,null,null,null,1.96,19577.66,null,365.95,273.18,5161.26,1.71,271.24,338.92,5.74,null,null,578.11,123.79,3.41,null,37.4,84.87,null,626.1,null,null,"601",2.26,2.04,50005.79,557.31,258.68,255.9,null,null
11157.56,453.92,45602.38,null,44.48,66557.22,16922.57,null,53785.36,4568.97,149620.64,71987.32,null,651.93,null,2292544.73,null,596.99,149620.64,2.54,2.36,31715.07,202.92,5399.54,null,5483.57,null,2.29,525.86,257552.53,608.42,448.25,null,3654.31,3.05,1889.39,8.89,"Launceston and North East",null,null,29240.67,0.89,null,4849.29,null,2.46,461851.19,null,1762.7,2742.24,136882.36,1.95,398.74,10700.46,5.01,null,11457.5,9789.0,934.31,3.7,819172.77,4891.13,1197.04,34832.37,28547.43,10620.26,5454.83,"602",2.6,2.95,686789.98,6260.98,12738.29,3766.13,31724.86,14582.12
1811.96,206.55,14513.3,null,135.81,22425.82,105.33,null,17399.25,35.63,43901.13,21598.48,null,null,60.64,1023705.38,null,1819.94,43901.13,2.29,1.94,6564.81,131.64,1970.77,null,null,null,3.24,392.29,78237.57,1848.45,341.85,null,434.75,4.17,219.6,99.1,"South East",null,null,10672.89,2.24,null,1429.75,null,2.02,345692.84,null,5748.85,1580.07,39778.33,2.36,764.97,1307.97,1.37,null,2780.81,2043.02,456.47,2.96,null,200.04,487.77,10244.44,4853.32,3209.04,1360.15,"603",2.85,3.16,473155.31,80.73,4122.8,717.42,12181.38,4200.47
null,395.06,33761.88,null,295.7,15387.02,15818.42,null,23629.26,5647.89,68289.02,32572.77,123.27,485.4,null,1075753.65,null,259.15,68289.02,2.44,1.44,3307.64,187.29,971.62,null,1266.11,null,2.68,48.04,121802.22,380.46,29.56,null,null,1.61,1503.01,112.39,"West and North West",null,null,13422.29,0.5,null,2106.68,null,2.43,205933.09,null,254.91,1958.72,57730.97,0.95,14.78,15325.17,2.63,null,3038.27,null,934.67,2.8,null,15159.79,730.99,6658.08,17328.18,256.37,268.82,"604",4.92,0.98,270336.31,6625.63,10558.05,551.76,8728.94,1663.85
null,92.1,110.11,null,226.8,8.55,689.13,null,null,280.6,7266.75,null,68.88,null,null,null,null,2232.0,7266.75,null,null,72.13,157.81,null,null,null,null,null,null,null,2308.52,null,null,null,null,null,68.88,"Darwin",null,null,null,null,null,null,null,null,36051.24,null,5779.94,null,null,null,null,null,3.29,null,null,null,112.86,2.46,null,6918.14,null,5.64,977.51,null,null,"701",null,2.59,95846.5,344.23,null,null,2.91,null
null,64.61,33858.3,null,8.11,3850.4,6661.78,70.86,17874.6,1140.51,87898.45,30402.63,3.43,null,null,120301.76,70.86,693.58,87898.45,2.6,2.32,52.67,15.7,null,null,null,null,7.17,165.2,null,818.87,165.2,null,null,null,182.55,3.43,"Northern Territory - Outback",null,null,15128.52,11.58,787.3,117.69,null,2.01,4.985891016E7,null,2543.87,2187.31,46535.53,null,1912.59,1292.96,2.37,11.11,273.08,1758.87,259.95,5.84,null,50121.38,305.13,577.95,12606.66,null,null,"702",7.04,3.67,5.448419996E7,1204.9,41362.92,249.69,3272.45,608.98
null,4.0,380.34,null,null,90.5,null,null,null,null,510.66,null,null,null,null,null,null,null,510.66,null,null,null,11.59,null,null,null,null,null,9.3,null,null,9.3,null,null,null,17.0,null,"Australian Capital Territory",null,null,null,1.32,null,null,null,null,23204.62,null,null,null,null,null,12.3,null,null,null,null,null,36.24,null,null,28.24,null,85.42,25.0,null,null,"801",null,null,24970.82,null,null,null,5.08,17.0
